qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
3,,,0.482418121,0.556043956,0.423280423,0.591836735,0.415384615,0.441260745,0.568181818,0.37654321,0.373493976,0.51875,0.552941176,0.52247191,0.674382716,0.100671141,0.346666667,0.311258278,0.422594142,0.518309859,0.596078431,0.13,0.409756098,0.737394958,0.851703407,0.070731707,0.329787234
3,,Bee Nguyen,391.6278078,131,261,91,140,157,15,75,75,61,56,63,137,216,38,66,100,134,82,220,97,61,10,339,38
3,,,0.383197464,0.287912088,0.46031746,0.265306122,0.430769231,0.449856734,0.340909091,0.462962963,0.451807229,0.38125,0.329411765,0.353932584,0.211419753,0.724832215,0.506666667,0.437086093,0.418410042,0.377464789,0.321568627,0.733333333,0.473170732,0.128151261,0.02004008,0.826829268,0.404255319
3,,Ted Metz,57.31038403,29,28,14,25,19,4,4,16,11,9,11,39,13,5,19,15,14,8,18,7,31,29,14,14
3,,,0.056076697,0.063736264,0.049382716,0.040816327,0.076923077,0.054441261,0.090909091,0.024691358,0.096385542,0.06875,0.052941176,0.061797753,0.060185185,0.043624161,0.066666667,0.125827815,0.062761506,0.03943662,0.031372549,0.06,0.034146341,0.06512605,0.058116232,0.034146341,0.14893617
3,,Don't know,80.03048808,42,38,35,25,19,0,22,13,5,11,11,35,39,6,19,23,23,13,23,17,33,35,28,11
3,,,0.078307718,0.092307692,0.0670194,0.102040816,0.076923077,0.054441261,0,0.135802469,0.078313253,0.03125,0.064705882,0.061797753,0.054012346,0.130872483,0.08,0.125827815,0.09623431,0.064788732,0.050980392,0.076666667,0.082926829,0.069327731,0.070140281,0.068292683,0.117021277
4,"If the election for Secretary of State were being held today, and the candidates were Republican Chris Carr, Democrat Jennifer Jordan  and Libertarian Martin Cowen, for whom would you vote? ",Chris Carr,499.0920712,266,233,213,139,144,28,61,61,91,95,85,448,23,28,52,95,188,155,29,70,379,460,11,25
4,,,0.488348406,0.584615385,0.410934744,0.620991254,0.429012346,0.413793103,0.636363636,0.37654321,0.36746988,0.56875,0.558823529,0.47752809,0.690292758,0.077441077,0.373333333,0.344370861,0.39748954,0.528089888,0.61023622,0.096345515,0.341463415,0.796218487,0.921843687,0.026829268,0.263157895
4,,Jennifer Jordan,430.0570237,142,288,111,147,169,15,83,92,62,60,72,154,235,41,73,118,140,90,239,106,70,11,366,47
