qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,Protestant,Catholic,Jewish,Muslim,Non-Religious,Atlanta Metro,North Georgia,South Georgia
3,,, 0.262 ,0.188854489,0.330645161,0.314814815,0.222972973,0.255813953,0.233870968,0.326530612,0.333333333,0.271028037,0.21686747,0.339805825,0.282051282,0.198019802,0.171957672,0.400943396,0.300884956,0.344370861,0.325714286,0.200980392,0.186567164,0.436241611,0.297297297,0.069230769,0.228228228,0.253012048,0.384615385,0,0.409090909,0.313380282,0.252707581,0.177304965
3,,Don't know,119,52,64,14,37,9,35,21,7,13,32,16,17,20,54,41,24,29,43,26,15,61,10,35,47,11,2,1,29,57,29,33
3,,, 0.169 ,0.160990712,0.172043011,0.12962963,0.25,0.209302326,0.141129032,0.142857143,0.212121212,0.121495327,0.192771084,0.155339806,0.145299145,0.198019802,0.142857143,0.193396226,0.212389381,0.19205298,0.245714286,0.12745098,0.111940299,0.204697987,0.135135135,0.134615385,0.141141141,0.13253012,0.153846154,0.166666667,0.263636364,0.200704225,0.104693141,0.234042553
4,Do you have a favorable or unfavorable impression of President Donald Trump?,Favorable,262,145,116,48,61,8,102,41,12,42,58,38,50,35,227,10,25,45,44,92,72,4,15,225,170,30,1,1,6,56,134,72
4,,, 0.374 ,0.448916409,0.311827957,0.444444444,0.412162162,0.181818182,0.412955466,0.277027027,0.363636364,0.396226415,0.351515152,0.368932039,0.431034483,0.343137255,0.600529101,0.047393365,0.221238938,0.298013245,0.25,0.448780488,0.537313433,0.013468013,0.202702703,0.862068966,0.510510511,0.361445783,0.071428571,0.166666667,0.054545455,0.197183099,0.483754513,0.510638298
4,,Unfavorable,390,155,233,55,71,32,132,99,18,55,95,60,58,63,121,190,80,96,122,96,55,283,51,15,148,46,12,5,94,203,125,62
4,,, 0.556 ,0.479876161,0.626344086,0.509259259,0.47972973,0.727272727,0.534412955,0.668918919,0.545454545,0.518867925,0.575757576,0.582524272,0.5,0.617647059,0.32010582,0.900473934,0.707964602,0.635761589,0.693181818,0.468292683,0.410447761,0.952861953,0.689189189,0.057471264,0.444444444,0.554216867,0.857142857,0.833333333,0.854545455,0.714788732,0.451263538,0.439716312
4,,Don't know,49,23,23,5,16,4,13,8,3,9,12,5,8,4,30,11,8,10,10,17,7,10,8,21,15,7,1,0,10,25,18,7
4,,, 0.070 ,0.07120743,0.061827957,0.046296296,0.108108108,0.090909091,0.052631579,0.054054054,0.090909091,0.08490566,0.072727273,0.048543689,0.068965517,0.039215686,0.079365079,0.052132701,0.07079646,0.066225166,0.056818182,0.082926829,0.052238806,0.033670034,0.108108108,0.08045977,0.045045045,0.084337349,0.071428571,0,0.090909091,0.088028169,0.064981949,0.04964539
5,Do you have a favorable or unfavorable impression of the Affordable Care Act? ,Favorable,365,156,209,43,76,29,125,92,15,58,89,58,55,63,135,162,68,94,98,98,57,249,31,46,141,42,10,5,73,188,118,59
5,,, 0.520 ,0.482972136,0.561827957,0.398148148,0.510067114,0.674418605,0.504032258,0.62585034,0.441176471,0.547169811,0.539393939,0.563106796,0.474137931,0.617647059,0.357142857,0.767772512,0.601769912,0.622516556,0.56,0.47804878,0.425373134,0.838383838,0.424657534,0.176245211,0.424698795,0.506024096,0.714285714,0.833333333,0.657657658,0.659649123,0.427536232,0.418439716
5,,Unfavorable,259,133,122,47,50,10,100,47,15,35,53,31,58,33,200,26,33,34,60,87,64,20,34,187,155,28,4,1,25,75,121,63
5,,, 0.369 ,0.411764706,0.327956989,0.435185185,0.33557047,0.23255814,0.403225806,0.319727891,0.441176471,0.330188679,0.321212121,0.300970874,0.5,0.323529412,0.529100529,0.123222749,0.292035398,0.225165563,0.342857143,0.424390244,0.47761194,0.067340067,0.465753425,0.716475096,0.46686747,0.337349398,0.285714286,0.166666667,0.225225225,0.263157895,0.438405797,0.446808511
5,,Don't know,78,34,41,18,23,4,23,8,4,13,23,14,3,6,43,23,12,23,17,20,13,28,8,28,36,13,0,0,13,22,37,19
5,,, 0.111 ,0.105263158,0.110215054,0.166666667,0.154362416,0.093023256,0.092741935,0.054421769,0.117647059,0.122641509,0.139393939,0.13592233,0.025862069,0.058823529,0.113756614,0.109004739,0.10619469,0.152317881,0.097142857,0.097560976,0.097014925,0.094276094,0.109589041,0.107279693,0.108433735,0.156626506,0,0,0.117117117,0.077192982,0.134057971,0.134751773
6,Do you have a favorable or unfavorable impression of Speaker of the House Nancy Pelosi? ,Favorable,272,107,163,34,49,16,93,77,13,34,57,49,37,53,82,140,50,51,76,77,51,208,30,11,107,30,10,5,56,143,87,41
6,,, 0.387 ,0.330246914,0.4393531,0.311926606,0.331081081,0.372093023,0.375,0.523809524,0.393939394,0.317757009,0.343373494,0.475728155,0.316239316,0.519607843,0.216931217,0.660377358,0.442477876,0.337748344,0.434285714,0.375609756,0.380597015,0.7003367,0.410958904,0.042145594,0.321321321,0.365853659,0.714285714,0.833333333,0.504504505,0.503521127,0.315217391,0.290780142
6,,Unfavorable,334,170,161,65,62,19,129,55,19,53,79,42,69,42,249,42,44,61,66,115,76,49,34,228,191,44,3,1,27,84,169,81
6,,, 0.476 ,0.524691358,0.433962264,0.596330275,0.418918919,0.441860465,0.52016129,0.37414966,0.575757576,0.495327103,0.475903614,0.40776699,0.58974359,0.411764706,0.658730159,0.198113208,0.389380531,0.40397351,0.377142857,0.56097561,0.567164179,0.164983165,0.465753425,0.873563218,0.573573574,0.536585366,0.214285714,0.166666667,0.243243243,0.295774648,0.612318841,0.574468085
6,,Don't know,96,47,47,10,37,8,26,15,1,20,30,12,11,7,47,30,19,39,33,13,7,40,9,22,35,8,1,0,28,57,20,19
6,,, 0.136 ,0.145061728,0.126684636,0.091743119,0.25,0.186046512,0.10483871,0.102040816,0.03030303,0.186915888,0.180722892,0.116504854,0.094017094,0.068627451,0.124338624,0.141509434,0.168141593,0.258278146,0.188571429,0.063414634,0.052238806,0.134680135,0.123287671,0.084291188,0.105105105,0.097560976,0.071428571,0,0.252252252,0.200704225,0.072463768,0.134751773
7,How satisfied are you with the way things are going in Georgia today?,Very satisfied,73,55,18,16,16,2,25,15,1,9,15,13,13,13,56,4,12,16,7,26,22,6,9,54,48,8,0,0,4,19,31,22
7,,, 0.103 ,0.170278638,0.048387097,0.148148148,0.108108108,0.047619048,0.100401606,0.102040816,0.03030303,0.08490566,0.091463415,0.125,0.113043478,0.12745098,0.148148148,0.018957346,0.10619469,0.105960265,0.039548023,0.126829268,0.164179104,0.02020202,0.121621622,0.207692308,0.144578313,0.097560976,0,0,0.036036036,0.066901408,0.112727273,0.156028369
7,, Somewhat satisfied,351,176,171,46,85,17,131,67,16,49,93,56,54,53,229,81,41,67,90,106,67,101,42,171,179,42,9,2,40,129,152,69
7,,, 0.500 ,0.544891641,0.459677419,0.425925926,0.574324324,0.404761905,0.526104418,0.455782313,0.484848485,0.462264151,0.567073171,0.538461538,0.469565217,0.519607843,0.605820106,0.383886256,0.362831858,0.443708609,0.508474576,0.517073171,0.5,0.34006734,0.567567568,0.657692308,0.539156627,0.512195122,0.642857143,0.333333333,0.36036036,0.454225352,0.552727273,0.489361702
7,,Somewhat dissatisfied,164,58,106,25,33,14,54,36,14,28,28,25,30,20,61,73,30,46,42,45,27,111,13,27,60,19,3,4,42,77,59,28
7,,, 0.234 ,0.179566563,0.284946237,0.231481481,0.222972973,0.333333333,0.21686747,0.244897959,0.424242424,0.264150943,0.170731707,0.240384615,0.260869565,0.196078431,0.161375661,0.345971564,0.265486726,0.304635762,0.237288136,0.219512195,0.201492537,0.373737374,0.175675676,0.103846154,0.180722892,0.231707317,0.214285714,0.666666667,0.378378378,0.271126761,0.214545455,0.19858156
7,,Very dissatisfied,100,28,70,21,11,9,31,27,2,19,25,8,17,13,26,51,23,19,36,25,14,77,10,6,38,12,2,0,24,56,24,19
7,,, 0.142 ,0.086687307,0.188172043,0.194444444,0.074324324,0.214285714,0.124497992,0.183673469,0.060606061,0.179245283,0.152439024,0.076923077,0.147826087,0.12745098,0.068783069,0.241706161,0.203539823,0.125827815,0.203389831,0.12195122,0.104477612,0.259259259,0.135135135,0.023076923,0.114457831,0.146341463,0.142857143,0,0.216216216,0.197183099,0.087272727,0.134751773
7,,Don't know,15,6,7,0,3,0,8,2,0,1,3,2,1,3,6,2,7,3,2,3,4,2,0,2,7,1,0,0,1,3,9,3
7,,, 0.021 ,0.018575851,0.018817204,0,0.02027027,0,0.032128514,0.013605442,0,0.009433962,0.018292683,0.019230769,0.008695652,0.029411765,0.015873016,0.009478673,0.061946903,0.01986755,0.011299435,0.014634146,0.029850746,0.006734007,0,0.007692308,0.021084337,0.012195122,0,0,0.009009009,0.01056338,0.032727273,0.021276596
8,How satisfied are you with the way things are going in the U.S. today?,Very satisfied,30,19,11,10,9,0,8,4,2,7,4,5,5,4,22,1,7,8,1,10,8,4,1,24,16,6,0,0,1,3,18,9
8,,, 0.043 ,0.058641975,0.029490617,0.092592593,0.06122449,0,0.032128514,0.027027027,0.058823529,0.065420561,0.024242424,0.048543689,0.043478261,0.039215686,0.058201058,0.004739336,0.061946903,0.053333333,0.005681818,0.048780488,0.060150376,0.013422819,0.013333333,0.091954023,0.048192771,0.072289157,0,0,0.009090909,0.01056338,0.064981949,0.063829787
