qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,Protestant,Catholic,Jewish,Muslim,Non-Religious,Atlanta Metro,North Georgia,South Georgia
13,,, 0.045 ,0.018518519,0.056451613,0.009259259,0.02027027,0.023255814,0.064777328,0.040816327,0.029411765,0.08490566,0.042424242,0.009708738,0.034482759,0.019607843,0.029100529,0.042654028,0.097345133,0,0.073863636,0.033980583,0.044776119,0.053691275,0.027027027,0.030769231,0.045045045,0.048192771,0.071428571,0,0.027027027,0.052816901,0.036231884,0.042253521
14,"Do you approve or disapprove of a proposal to tax phone lines, TV subscriptions and internet streaming services like Netflix to raise money for building internet lines in rural areas of Georgia?",Approve,196,82,113,35,37,10,73,40,10,32,35,38,30,33,104,58,34,56,57,43,33,100,22,54,86,27,6,3,39,78,80,38
14,,, 0.279 ,0.253869969,0.303763441,0.324074074,0.25,0.23255814,0.294354839,0.27027027,0.294117647,0.299065421,0.210843373,0.368932039,0.25862069,0.323529412,0.275132275,0.274881517,0.300884956,0.370860927,0.325714286,0.209756098,0.246268657,0.33557047,0.297297297,0.206896552,0.258258258,0.325301205,0.428571429,0.5,0.354545455,0.274647887,0.289855072,0.269503546
14,,Disapprove,460,231,227,67,103,32,163,93,23,71,126,61,77,60,254,139,67,88,106,154,90,175,49,196,236,50,7,3,57,183,183,93
14,,, 0.655 ,0.715170279,0.610215054,0.62037037,0.695945946,0.744186047,0.657258065,0.628378378,0.676470588,0.663551402,0.759036145,0.59223301,0.663793103,0.588235294,0.671957672,0.658767773,0.592920354,0.582781457,0.605714286,0.751219512,0.671641791,0.587248322,0.662162162,0.750957854,0.708708709,0.602409639,0.5,0.5,0.518181818,0.644366197,0.663043478,0.659574468
14,,Don't know,46,10,32,6,8,1,12,15,1,4,5,4,9,9,20,14,12,7,12,8,11,23,3,11,11,6,1,0,14,23,13,10
14,,, 0.066 ,0.030959752,0.086021505,0.055555556,0.054054054,0.023255814,0.048387097,0.101351351,0.029411765,0.037383178,0.030120482,0.038834951,0.077586207,0.088235294,0.052910053,0.066350711,0.10619469,0.046357616,0.068571429,0.03902439,0.082089552,0.077181208,0.040540541,0.042145594,0.033033033,0.072289157,0.071428571,0,0.127272727,0.080985915,0.047101449,0.070921986
15,"Should Georgia expand eligibility for Medicaid, which provides health care to the poor?",Yes,499,215,283,87,106,35,163,106,32,92,112,80,65,69,212,198,88,129,143,130,76,288,54,104,211,54,10,5,100,226,182,91
15,,, 0.710 ,0.665634675,0.760752688,0.805555556,0.716216216,0.813953488,0.657258065,0.721088435,0.941176471,0.867924528,0.678787879,0.776699029,0.560344828,0.676470588,0.560846561,0.938388626,0.785714286,0.854304636,0.8125,0.631067961,0.562962963,0.966442953,0.72972973,0.4,0.633633634,0.658536585,0.714285714,0.833333333,0.900900901,0.795774648,0.65942029,0.64084507
15,,No,154,89,64,16,32,7,70,29,2,9,42,21,36,28,129,7,18,22,23,57,46,5,14,127,95,21,3,1,8,38,74,42
15,,, 0.220 ,0.275541796,0.172043011,0.148148148,0.216216216,0.162790698,0.282258065,0.197278912,0.058823529,0.08490566,0.254545455,0.203883495,0.310344828,0.274509804,0.341269841,0.033175355,0.160714286,0.145695364,0.130681818,0.276699029,0.340740741,0.016778523,0.189189189,0.488461538,0.285285285,0.256097561,0.214285714,0.166666667,0.072072072,0.133802817,0.268115942,0.295774648
15,,Don't know,49,19,25,5,10,1,15,12,0,5,11,2,15,5,37,6,6,0,10,19,13,5,6,29,27,7,1,0,3,20,20,9
15,,, 0.070 ,0.058823529,0.067204301,0.046296296,0.067567568,0.023255814,0.060483871,0.081632653,0,0.047169811,0.066666667,0.019417476,0.129310345,0.049019608,0.097883598,0.028436019,0.053571429,0,0.056818182,0.09223301,0.096296296,0.016778523,0.081081081,0.111538462,0.081081081,0.085365854,0.071428571,0,0.027027027,0.070422535,0.072463768,0.063380282
16,The Trump Administration wants to allow states to require adults without disabilities to be working or looking for work in order to be eligible for Medicaid benefits. Would you support such a change in Georgia?,Yes,462,223,237,79,102,26,162,91,19,68,119,63,84,71,284,108,70,107,104,143,94,142,50,230,248,45,6,6,58,162,200,100
16,,, 0.658 ,0.690402477,0.637096774,0.724770642,0.684563758,0.619047619,0.653225806,0.614864865,0.558823529,0.641509434,0.71686747,0.605769231,0.724137931,0.702970297,0.75331565,0.511848341,0.614035088,0.708609272,0.590909091,0.697560976,0.696296296,0.476510067,0.684931507,0.884615385,0.746987952,0.548780488,0.461538462,1,0.527272727,0.568421053,0.724637681,0.709219858
16,,No,193,73,120,26,37,16,71,43,14,32,29,36,29,25,75,84,34,32,56,56,38,136,21,20,68,30,4,0,49,97,62,34
16,,, 0.275 ,0.226006192,0.322580645,0.23853211,0.248322148,0.380952381,0.286290323,0.290540541,0.411764706,0.301886792,0.174698795,0.346153846,0.25,0.247524752,0.198938992,0.398104265,0.298245614,0.21192053,0.318181818,0.273170732,0.281481481,0.456375839,0.287671233,0.076923077,0.204819277,0.365853659,0.307692308,0,0.445454545,0.340350877,0.224637681,0.241134752
16,,Don't know,47,27,15,4,10,0,15,14,1,6,18,5,3,5,18,19,10,12,16,6,3,20,2,10,16,7,3,0,3,26,14,7
16,,, 0.067 ,0.083591331,0.040322581,0.036697248,0.067114094,0,0.060483871,0.094594595,0.029411765,0.056603774,0.108433735,0.048076923,0.025862069,0.04950495,0.047745358,0.090047393,0.087719298,0.079470199,0.090909091,0.029268293,0.022222222,0.067114094,0.02739726,0.038461538,0.048192771,0.085365854,0.230769231,0,0.027272727,0.09122807,0.050724638,0.04964539
17,Should the Georgia Legislature allow gun owners to carry a concealed weapon without a permit?,Yes,106,72,34,16,26,5,43,16,3,19,29,14,15,20,68,20,18,10,38,34,17,21,13,61,48,13,3,0,8,27,51,29
17,,, 0.151 ,0.222222222,0.091397849,0.148148148,0.175675676,0.11627907,0.172690763,0.108108108,0.088235294,0.179245283,0.175757576,0.13592233,0.129310345,0.196078431,0.180371353,0.09478673,0.159292035,0.066225166,0.217142857,0.166666667,0.126865672,0.070469799,0.175675676,0.234615385,0.144144144,0.156626506,0.214285714,0,0.072727273,0.094736842,0.184782609,0.204225352
17,,No,582,250,331,92,119,37,205,128,31,86,134,89,101,79,303,189,90,141,135,167,115,274,60,194,279,70,11,6,101,254,219,109
17,,, 0.829 ,0.771604938,0.889784946,0.851851852,0.804054054,0.860465116,0.823293173,0.864864865,0.911764706,0.811320755,0.812121212,0.86407767,0.870689655,0.774509804,0.803713528,0.895734597,0.796460177,0.933774834,0.771428571,0.818627451,0.858208955,0.919463087,0.810810811,0.746153846,0.837837838,0.843373494,0.785714286,1,0.918181818,0.89122807,0.793478261,0.767605634
17,,Don't know,14,2,7,0,3,1,1,4,0,1,2,0,0,3,6,2,5,0,2,3,2,3,1,5,6,0,0,0,1,4,6,4
17,,, 0.020 ,0.00617284,0.018817204,0,0.02027027,0.023255814,0.004016064,0.027027027,0,0.009433962,0.012121212,0,0,0.029411765,0.015915119,0.009478673,0.044247788,0,0.011428571,0.014705882,0.014925373,0.010067114,0.013513514,0.019230769,0.018018018,0,0,0,0.009090909,0.014035088,0.02173913,0.028169014
18,Should the Georgia Legislature increase the age to purchase an assault weapon from 18 to 21?,Yes,549,221,328,86,109,37,190,127,29,82,130,81,91,77,266,190,93,121,136,161,109,277,59,163,248,66,12,6,92,240,214,96
18,,, 0.782 ,0.682098765,0.88172043,0.796296296,0.731543624,0.860465116,0.769230769,0.858108108,0.852941176,0.773584906,0.78313253,0.786407767,0.784482759,0.754901961,0.705570292,0.900473934,0.82300885,0.796052632,0.777142857,0.781553398,0.813432836,0.932659933,0.808219178,0.624521073,0.746987952,0.804878049,0.923076923,1,0.836363636,0.842105263,0.772563177,0.680851064
18,,No,134,92,41,22,34,4,53,20,5,22,35,17,24,24,103,16,15,25,38,42,22,17,11,95,78,16,1,0,15,41,55,37
18,,, 0.191 ,0.283950617,0.110215054,0.203703704,0.228187919,0.093023256,0.214574899,0.135135135,0.147058824,0.20754717,0.210843373,0.165048544,0.206896552,0.235294118,0.273209549,0.075829384,0.132743363,0.164473684,0.217142857,0.203883495,0.164179104,0.057239057,0.150684932,0.363984674,0.234939759,0.195121951,0.076923077,0,0.136363636,0.143859649,0.198555957,0.262411348
18,,Don't know,19,11,3,0,6,2,4,1,0,2,1,5,1,1,8,5,5,6,1,3,3,3,3,3,6,0,0,0,3,4,8,8
18,,, 0.027 ,0.033950617,0.008064516,0,0.040268456,0.046511628,0.016194332,0.006756757,0,0.018867925,0.006024096,0.048543689,0.00862069,0.009803922,0.021220159,0.023696682,0.044247788,0.039473684,0.005714286,0.014563107,0.02238806,0.01010101,0.04109589,0.011494253,0.018072289,0,0,0,0.027272727,0.014035088,0.028880866,0.056737589
19,"Last year, a new state law went into effect that bans hand-held cell phone use while driving. Do you obey this law all of the time, most of the time, seldom, or never?",All of the time,319,132,185,40,74,21,112,72,20,54,80,43,57,33,172,101,46,44,55,112,97,132,37,123,146,40,4,2,34,127,132,61
19,,, 0.454 ,0.408668731,0.498652291,0.37037037,0.496644295,0.5,0.449799197,0.486486486,0.588235294,0.504672897,0.484848485,0.417475728,0.495652174,0.323529412,0.453825858,0.476415094,0.407079646,0.293333333,0.3125,0.54368932,0.723880597,0.44295302,0.493333333,0.473076923,0.438438438,0.481927711,0.285714286,0.333333333,0.309090909,0.448763251,0.474820144,0.429577465
19,,Most of the time,281,142,139,46,60,12,97,65,10,41,69,39,46,54,154,92,35,63,96,79,28,126,21,102,142,26,8,0,56,124,95,62
19,,, 0.400 ,0.439628483,0.374663073,0.425925926,0.402684564,0.285714286,0.389558233,0.439189189,0.294117647,0.38317757,0.418181818,0.378640777,0.4,0.529411765,0.406332454,0.433962264,0.309734513,0.42,0.545454545,0.383495146,0.208955224,0.422818792,0.28,0.392307692,0.426426426,0.313253012,0.571428571,0,0.509090909,0.438162544,0.341726619,0.436619718
19,,Seldom,60,39,20,7,12,5,28,8,0,5,9,16,9,8,35,11,14,25,20,9,3,26,8,20,27,11,1,0,16,23,27,10
19,,, 0.085 ,0.120743034,0.053908356,0.064814815,0.080536913,0.119047619,0.112449799,0.054054054,0,0.046728972,0.054545455,0.155339806,0.07826087,0.078431373,0.092348285,0.051886792,0.123893805,0.166666667,0.113636364,0.04368932,0.02238806,0.087248322,0.106666667,0.076923077,0.081081081,0.13253012,0.071428571,0,0.145454545,0.081272085,0.097122302,0.070422535
19,,Never,30,9,21,13,2,1,11,3,3,6,4,4,3,7,14,8,9,15,5,5,4,10,9,11,13,6,1,4,4,5,19,6
19,,, 0.043 ,0.027863777,0.056603774,0.12037037,0.013422819,0.023809524,0.044176707,0.02027027,0.088235294,0.056074766,0.024242424,0.038834951,0.026086957,0.068627451,0.036939314,0.037735849,0.079646018,0.1,0.028409091,0.024271845,0.029850746,0.033557047,0.12,0.042307692,0.039039039,0.072289157,0.071428571,0.666666667,0.036363636,0.017667845,0.068345324,0.042253521
19,,Don't know,12,1,6,2,1,3,1,0,1,1,3,1,0,0,4,0,9,3,0,1,2,4,0,4,5,0,0,0,0,4,5,3
19,,, 0.018 ,0.003095975,0.016172507,0.018518519,0.006711409,0.071428571,0.004016064,0,0.029411765,0.009345794,0.018181818,0.009708738,0,0,0.01055409,0,0.079646018,0.02,0,0.004854369,0.014925373,0.013422819,0,0.015384615,0.015015015,0,0,0,0,0.014134276,0.017985612,0.021126761
