qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White protestant evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,Under $50k,$50k - $100k,$100k +,No college degree,College grad
21,,,0.45,0.43,0.35,0.58,0.39,0.46,0.41,0.41,0.34,0.53,0.39,0.53,0.5,0.45,0.33,0.5,0.5,0.47,0.45,0.38,0.48,0.37
21,,Don't know/no answer,33,48,23,25,21,51,18,24,28,29,24,16,9,19,17,21,14,32,25,7,57,23
21,,,0.09,0.12,0.11,0.1,0.11,0.12,0.08,0.08,0.11,0.08,0.17,0.13,0.09,0.09,0.09,0.16,0.13,0.11,0.11,0.05,0.11,0.1
22,Would you support or oppose Georgia lawmakers attempting to pass the religious liberty bill again?,Support,148,148,65,139,65,184,80,102,76,163,56,64,42,84,63,59,48,100,110,58,209,85
22,,,0.42,0.37,0.29,0.57,0.33,0.42,0.35,0.35,0.31,0.47,0.39,0.51,0.42,0.4,0.32,0.46,0.43,0.33,0.48,0.4,0.41,0.36
22,,Oppose,172,209,135,81,121,206,132,164,151,163,65,45,46,116,114,56,50,166,104,78,248,131
22,,,0.49,0.53,0.61,0.33,0.61,0.48,0.57,0.57,0.6,0.47,0.46,0.36,0.46,0.54,0.58,0.44,0.45,0.56,0.46,0.54,0.49,0.56
22,,Don't know/no answer,29,40,22,25,12,43,18,24,23,24,22,16,11,12,18,14,13,33,14,9,50,18
22,,,0.08,0.1,0.1,0.1,0.06,0.1,0.08,0.08,0.09,0.07,0.15,0.13,0.12,0.06,0.09,0.11,0.12,0.11,0.06,0.06,0.1,0.08
23,"Governor Deal has vetoed a bill that would have allowed anyone age 21 and older with a weapons license to carry a concealed gun in most places on college campuses. In your opinion, should Governor Deal have vetoed this bill or not?","Yes, should have vetoed",172,247,173,91,114,214,159,199,117,200,99,60,45,102,137,77,57,162,127,87,268,147
23,,,0.49,0.62,0.78,0.37,0.57,0.49,0.69,0.69,0.47,0.57,0.7,0.48,0.45,0.48,0.7,0.6,0.52,0.54,0.56,0.6,0.53,0.63
23,,"No, shouldNot have vetoed",164,144,46,145,82,205,71,89,127,141,41,61,50,105,56,48,50,130,98,55,223,84
23,,,0.47,0.36,0.21,0.59,0.41,0.47,0.31,0.31,0.51,0.4,0.29,0.48,0.51,0.49,0.29,0.37,0.45,0.44,0.43,0.38,0.44,0.36
23,,Don't know/no answer,13,6,4,9,3,14,-,2,6,10,3,5,4,5,2,4,4,6,2,4,16,4
23,,,0.04,0.02,0.02,0.04,0.01,0.03,- ,0.01,0.02,0.03,0.02,0.04,0.04,0.02,0.01,0.03,0.04,0.02,0.01,0.02,0.03,0.02
24,Would you support or oppose Georgia lawmakers attempting to pass this bill again?,Support,160,115,37,144,61,193,55,71,99,134,42,58,44,105,49,36,40,94,93,58,194,81
24,,,0.46,0.29,0.17,0.59,0.31,0.45,0.24,0.25,0.4,0.38,0.3,0.47,0.45,0.5,0.25,0.28,0.36,0.32,0.41,0.4,0.38,0.34
24,,Oppose,181,270,178,92,136,224,174,215,144,210,94,60,48,104,143,90,67,194,132,85,297,150
24,,,0.52,0.68,0.8,0.38,0.68,0.52,0.76,0.74,0.58,0.6,0.66,0.48,0.48,0.49,0.74,0.69,0.6,0.65,0.58,0.58,0.59,0.64
24,,Don't know/no answer,8,12,7,9,1,16,2,3,7,7,6,7,7,3,2,3,4,11,3,3,15,4
24,,,0.02,0.03,0.03,0.03,0.01,0.04,0.01,0.01,0.03,0.02,0.04,0.05,0.07,0.02,0.01,0.03,0.04,0.04,0.01,0.02,0.03,0.02
