qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other,18-29,30-44,45-64,65+
5,,,0.448,0.488,0.417,0.523,0.525,0.569,0.438,0.35,0.438,0.397,0.465,0.492,0.484,0.388,0.655,0.034,0.292,0.241,0.361,0.452,0.571
5,,Stacey Abrams,576,223,353,55,78,24,245,167,20,77,104,83,101,106,199,321,56,52,137,230,126
5,,,0.468,0.406,0.517,0.369,0.359,0.369,0.501,0.568,0.417,0.510,0.460,0.426,0.457,0.541,0.254,0.909,0.583,0.598,0.55,0.477,0.36
5,,Neither,53,31,22,3,15,2,18,12,4,5,9,11,9,8,41,6,5,9,10,16,13
5,,,0.043,0.056,0.032,0.020,0.069,0.031,0.037,0.041,0.083,0.033,0.040,0.056,0.041,0.041,0.052,0.017,0.052,0.103,0.04,0.033,0.037
5,,Don't know,51,27,23,13,10,2,12,12,3,9,8,5,4,6,30,14,7,5,12,18,11
5,,,0.041,0.049,0.034,0.087,0.046,0.031,0.025,0.041,0.063,0.060,0.035,0.026,0.018,0.031,0.038,0.040,0.073,0.057,0.048,0.037,0.031
6,Which candidate do you have more confidence in to stand up for people like you?,Brian Kemp,576,285,291,79,122,38,228,100,19,64,107,100,112,79,537,8,31,23,89,231,208
6,,,0.467,0.518,0.427,0.527,0.565,0.576,0.467,0.34,0.388,0.424,0.473,0.518,0.507,0.401,0.686,0.023,0.32,0.267,0.356,0.479,0.594
6,,Stacey Abrams,577,222,355,59,78,23,237,171,25,78,112,82,93,100,188,334,55,58,141,224,124
6,,,0.468,0.404,0.521,0.393,0.361,0.348,0.486,0.582,0.510,0.517,0.496,0.425,0.421,0.508,0.24,0.946,0.567,0.674,0.564,0.465,0.354
6,,Neither,48,26,22,6,9,3,17,14,4,4,4,8,10,12,39,3,6,3,13,16,12
6,,,0.039,0.047,0.032,0.040,0.042,0.045,0.035,0.048,0.082,0.026,0.018,0.041,0.045,0.061,0.05,0.008,0.062,0.035,0.052,0.033,0.034
6,,Don't know,31,17,14,6,7,2,6,9,1,5,3,3,6,6,19,8,5,2,7,11,6
