qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
3,"If the election for Secretary of State were being held today, and the candidates were Republican Brad Raffensperger, Democrat Bee Nguyen and Libertarian Ted Metz, for whom would you vote? ",Brad Raffensperger,430.0669318,221,209,174,134,120,33,60,84,72,67,67,351,55,23,37,86,166,121,61,69,281,335,67,19
3,,,0.499497017,0.575520833,0.438155136,0.602076125,0.489051095,0.406779661,0.55,0.491803279,0.552631579,0.525547445,0.432258065,0.5,0.642857143,0.22,0.365079365,0.286821705,0.427860697,0.586572438,0.565420561,0.23828125,0.420731707,0.69382716,0.797619048,0.194202899,0.345454545
3,,Bee Nguyen,265.2050695,98,167,60,83,122,17,35,50,42,57,43,89,151,25,62,59,83,54,157,66,35,14,231,13
3,,,0.308019825,0.255208333,0.350104822,0.207612457,0.302919708,0.413559322,0.283333333,0.286885246,0.328947368,0.306569343,0.367741935,0.320895522,0.163003663,0.604,0.396825397,0.480620155,0.293532338,0.293286219,0.252336449,0.61328125,0.402439024,0.086419753,0.033333333,0.669565217,0.236363636
3,,Ted Metz,54.75054093,29,26,26,12,16,1,9,10,12,6,6,43,6,6,20,18,12,4,16,6,32,27,12,11
3,,,0.063589478,0.075520833,0.054507338,0.089965398,0.04379562,0.054237288,0.016666667,0.073770492,0.065789474,0.087591241,0.038709677,0.044776119,0.078754579,0.024,0.095238095,0.15503876,0.089552239,0.042402827,0.018691589,0.0625,0.036585366,0.079012346,0.064285714,0.034782609,0.2
3,,Don't know,110.9774577,36,75,29,45,37,9,18,8,11,25,18,63,38,9,10,38,22,35,22,23,57,44,35,12
3,,,0.128893679,0.09375,0.157232704,0.100346021,0.164233577,0.125423729,0.15,0.147540984,0.052631579,0.080291971,0.161290323,0.134328358,0.115384615,0.152,0.142857143,0.07751938,0.189054726,0.077738516,0.163551402,0.0859375,0.140243902,0.140740741,0.104761905,0.101449275,0.218181818
4,"If the election for Secretary of State were being held today, and the candidates were Republican Chris Carr, Democrat Jennifer Jordan  and Libertarian Martin Cowen, for whom would you vote? ",Chris Carr,382.8608904,189,194,164,123,95,34,48,72,65,59,58,347,19,18,36,75,144,113,21,41,302,355,6,14
4,,,0.444670024,0.4921875,0.406708595,0.567474048,0.448905109,0.31986532,0.566666667,0.390243902,0.473684211,0.474452555,0.380645161,0.432835821,0.634369287,0.075697211,0.28125,0.28125,0.373134328,0.508833922,0.528037383,0.08203125,0.25,0.745679012,0.845238095,0.017391304,0.254545455
4,,Jennifer Jordan,298.282194,119,179,59,89,150,6,40,59,49,69,52,107,160,31,48,74,102,63,176,84,33,11,264,16
4,,,0.346436927,0.309895833,0.375262055,0.204152249,0.324817518,0.505050505,0.1,0.325203252,0.388157895,0.357664234,0.44516129,0.388059701,0.195612431,0.637450199,0.484375,0.375,0.368159204,0.360424028,0.294392523,0.6875,0.512195122,0.081481481,0.026190476,0.765217391,0.290909091
4,,Martin Cowen,46.41720713,23,24,26,9,12,10,16,5,2,2,6,25,20,2,24,13,5,4,17,11,19,20,19,7
4,,,0.05391081,0.059895833,0.050314465,0.089965398,0.032846715,0.04040404,0.166666667,0.130081301,0.032894737,0.01459854,0.012903226,0.044776119,0.045703839,0.079681275,0.03125,0.1875,0.064676617,0.017667845,0.018691589,0.06640625,0.067073171,0.04691358,0.047619048,0.055072464,0.127272727
4,,Don't know,133.4397085,53,80,40,53,40,10,19,16,21,25,18,68,52,13,20,39,32,34,42,28,51,34,56,18
4,,,0.15498224,0.138020833,0.167714885,0.138408304,0.193430657,0.134680135,0.166666667,0.154471545,0.105263158,0.153284672,0.161290323,0.134328358,0.124314442,0.207171315,0.203125,0.15625,0.194029851,0.113074205,0.158878505,0.1640625,0.170731707,0.125925926,0.080952381,0.162318841,0.327272727
5,"All in all, do you think things in the nation are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,158.9198351,63,96,42,47,69,11,24,23,25,36,21,60,88,11,32,35,50,33,87,40,30,21,129,7
5,,,0.184575883,0.1640625,0.201257862,0.145833333,0.172161172,0.233108108,0.186440678,0.196721311,0.151315789,0.183823529,0.233766234,0.156716418,0.109689214,0.352,0.171875,0.251968504,0.173267327,0.176678445,0.153488372,0.33984375,0.243902439,0.074074074,0.049881235,0.373913043,0.127272727
5,,Mixed,76.89057895,32,45,22,24,31,1,16,15,13,15,11,35,31,11,9,15,29,22,28,27,14,13,44,8
5,,,0.089303808,0.083333333,0.094339623,0.076388889,0.087912088,0.10472973,0.016949153,0.131147541,0.098684211,0.095588235,0.097402597,0.082089552,0.063985375,0.124,0.171875,0.070866142,0.074257426,0.102473498,0.102325581,0.109375,0.164634146,0.034567901,0.03087886,0.127536232,0.145454545
5,,Wrong track,598.0265203,280,318,217,191,188,43,77,111,95,99,99,440,118,40,79,147,199,149,129,88,356,382,155,38
5,,,0.694572033,0.729166667,0.666666667,0.753472222,0.6996337,0.635135135,0.728813559,0.631147541,0.730263158,0.698529412,0.642857143,0.73880597,0.804387569,0.472,0.625,0.622047244,0.727722772,0.703180212,0.693023256,0.50390625,0.536585366,0.879012346,0.90736342,0.449275362,0.690909091
5,,Don't know,27.16306571,9,18,7,11,8,4,5,3,3,4,3,12,13,2,7,5,5,11,12,9,5,5,17,2
5,,,0.031548276,0.0234375,0.037735849,0.024305556,0.04029304,0.027027027,0.06779661,0.040983607,0.019736842,0.022058824,0.025974026,0.02238806,0.021937843,0.052,0.03125,0.05511811,0.024752475,0.017667845,0.051162791,0.046875,0.054878049,0.012345679,0.011876485,0.049275362,0.036363636
6,"In reference to Georgia specifically, do you think things in the state are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,332.2776824,153,179,126,104,101,31,48,48,46,65,60,243,65,25,62,55,110,85,70,43,213,231,74,16
6,,,0.385920653,0.399477807,0.375262055,0.4375,0.380952381,0.341216216,0.525423729,0.393442623,0.315789474,0.338235294,0.419354839,0.444444444,0.444241316,0.258964143,0.390625,0.488188976,0.272277228,0.38869258,0.397196262,0.274509804,0.262195122,0.524630542,0.55,0.215116279,0.285714286
6,,Wrong track,109.5821862,54,56,42,34,33,11,11,15,21,25,12,73,23,14,4,33,41,30,25,21,53,53,35,10
6,,,0.127273155,0.140992167,0.117400419,0.145833333,0.124542125,0.111486486,0.186440678,0.090163934,0.098684211,0.154411765,0.161290323,0.088888889,0.13345521,0.091633466,0.21875,0.031496063,0.163366337,0.144876325,0.140186916,0.098039216,0.12804878,0.130541872,0.126190476,0.101744186,0.178571429
6,,Mixed,388.5945837,156,232,109,122,156,15,57,88,65,58,58,210,156,23,60,110,127,79,150,91,132,124,223,25
6,,,0.451329365,0.407310705,0.486373166,0.378472222,0.446886447,0.527027027,0.254237288,0.467213115,0.578947368,0.477941176,0.374193548,0.42962963,0.383912249,0.621513944,0.359375,0.472440945,0.544554455,0.448763251,0.369158879,0.588235294,0.554878049,0.325123153,0.295238095,0.648255814,0.446428571
6,,Don't know,30.54554777,20,10,11,13,6,2,6,1,4,7,5,21,7,2,1,4,5,20,10,9,8,12,12,5
6,,,0.035476827,0.052219321,0.020964361,0.038194444,0.047619048,0.02027027,0.033898305,0.049180328,0.006578947,0.029411765,0.04516129,0.037037037,0.038391225,0.027888446,0.03125,0.007874016,0.01980198,0.017667845,0.093457944,0.039215686,0.054878049,0.019704433,0.028571429,0.034883721,0.089285714
7,"If the election were today, would you want to see the Republican Party or the Democratic Party win control of the U.S. Congress?",Republican Party,439.9766128,209,231,192,140,107,47,52,79,75,68,64,384,36,19,49,91,162,124,25,45,343,405,1,15
7,,,0.511006519,0.544270833,0.48427673,0.664359862,0.510948905,0.361486486,0.796610169,0.426229508,0.516339869,0.547445255,0.438709677,0.481203008,0.703296703,0.144,0.301587302,0.3828125,0.45049505,0.572438163,0.579439252,0.09765625,0.274390244,0.84691358,0.964285714,0.002898551,0.267857143
7,,Democratic Party,370.6723307,149,222,95,110,165,10,64,63,60,78,58,145,190,35,69,97,109,80,214,109,43,9,333,22
7,,,0.430513741,0.388020833,0.465408805,0.328719723,0.401459854,0.557432432,0.169491525,0.524590164,0.411764706,0.437956204,0.503225806,0.436090226,0.265567766,0.76,0.555555556,0.5390625,0.48019802,0.385159011,0.373831776,0.8359375,0.664634146,0.10617284,0.021428571,0.965217391,0.392857143
7,,Don't know,50.35105649,26,24,2,24,24,2,6,11,2,9,11,17,24,9,10,14,12,10,17,10,19,6,11,19
7,,,0.05847974,0.067708333,0.050314465,0.006920415,0.087591241,0.081081081,0.033898305,0.049180328,0.071895425,0.01459854,0.058064516,0.082706767,0.031135531,0.096,0.142857143,0.078125,0.069306931,0.042402827,0.046728972,0.06640625,0.06097561,0.04691358,0.014285714,0.031884058,0.339285714
8,Do you approve or disapprove of the way Joe Biden is handling his job as president? ,Strongly approve,158.0071693,48,110,58,33,66,13,31,26,16,36,26,42,103,13,25,26,57,42,87,42,27,14,139,4
8,,,0.183515876,0.125,0.231092437,0.201388889,0.120437956,0.222972973,0.220338983,0.25203252,0.171052632,0.117647059,0.233766234,0.194029851,0.07678245,0.410358566,0.206349206,0.19379845,0.129353234,0.20212766,0.196261682,0.33984375,0.257668712,0.066666667,0.033412888,0.402898551,0.072727273
8,,Somewhat approve,159.8599737,70,89,33,44,83,5,21,25,26,33,28,80,66,14,36,46,42,32,93,46,17,5,137,11
