qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Democrat,Republican,Independent
3,"If the election for secretary of state were being held today, and the candidates were Republican Brad Raffensperger, Democrat Bee Nguyen and Libertarian Ted Metz, for whom would you vote? ",Brad Raffensperger,417.5261385,198,220,169,121,126,26,56,51,73,75,77,344,49,25,33,84,166,117,20,150,236,60,314,27
3,,,0.462889289,0.491315136,0.439121756,0.555921053,0.421602787,0.406451613,0.40625,0.451612903,0.35915493,0.593495935,0.477707006,0.452941176,0.60034904,0.186311787,0.378787879,0.246268657,0.398104265,0.538961039,0.52,0.12345679,0.422535211,0.704477612,0.156657963,0.771498771,0.346153846
3,,Bee Nguyen,289.5281664,102,188,70,97,122,28,46,43,22,52,62,106,161,22,59,72,92,62,124,116,31,264,6,16
3,,,0.320984663,0.253101737,0.375249501,0.230263158,0.337979094,0.393548387,0.4375,0.370967742,0.302816901,0.178861789,0.331210191,0.364705882,0.184991274,0.6121673,0.333333333,0.440298507,0.341232227,0.298701299,0.275555556,0.765432099,0.326760563,0.092537313,0.689295039,0.014742015,0.205128205
3,,Ted Metz,60.55268458,32,29,22,25,14,5,5,24,7,2,17,41,13,7,10,20,22,7,8,26,25,14,31,13
3,,,0.067131579,0.079404467,0.057884232,0.072368421,0.087108014,0.04516129,0.078125,0.040322581,0.169014085,0.056910569,0.012738854,0.1,0.071553229,0.049429658,0.106060606,0.074626866,0.09478673,0.071428571,0.031111111,0.049382716,0.073239437,0.074626866,0.036553525,0.076167076,0.166666667
3,,Don't know,134.3930106,71,64,43,44,48,5,17,24,21,28,14,82,40,12,32,35,28,39,10,63,43,45,56,22
3,,,0.148994468,0.17617866,0.127744511,0.141447368,0.153310105,0.15483871,0.078125,0.137096774,0.169014085,0.170731707,0.178343949,0.082352941,0.143106457,0.152091255,0.181818182,0.23880597,0.165876777,0.090909091,0.173333333,0.061728395,0.177464789,0.128358209,0.117493473,0.137592138,0.282051282
4,"Do you think things in the nation are generally headed in the right direction, or do you think things are off on the wrong track?",Right direction,94.10334361,41,53,20,33,41,8,15,9,9,14,26,29,55,10,6,17,35,35,27,45,18,76,10,6
4,,,0.104327432,0.101736973,0.106,0.066006601,0.115384615,0.132686084,0.125,0.120967742,0.063380282,0.073770492,0.088607595,0.154761905,0.05061082,0.209125475,0.151515152,0.044776119,0.08056872,0.113268608,0.155555556,0.165644172,0.126760563,0.053731343,0.19895288,0.024509804,0.075949367
4,,Wrong track,706.7961658,312,395,251,220,233,50,95,116,103,129,129,504,154,49,110,163,245,166,114,267,302,232,386,61
4,,,0.783587767,0.774193548,0.79,0.828382838,0.769230769,0.754045307,0.78125,0.766129032,0.816901408,0.844262295,0.816455696,0.767857143,0.879581152,0.585551331,0.742424242,0.820895522,0.772511848,0.792880259,0.737777778,0.699386503,0.752112676,0.901492537,0.607329843,0.946078431,0.772151899
4,,Mixed,67.98740738,28,40,17,24,26,6,9,10,6,11,9,31,33,4,14,16,22,16,16,24,12,52,8,6
4,,,0.075374066,0.069478908,0.08,0.056105611,0.083916084,0.084142395,0.09375,0.072580645,0.070422535,0.049180328,0.069620253,0.053571429,0.054101222,0.125475285,0.060606061,0.104477612,0.075829384,0.071197411,0.071111111,0.098159509,0.067605634,0.035820896,0.136125654,0.019607843,0.075949367
4,,Don't know,33.11308322,22,12,15,9,9,0,5,7,4,4,4,9,21,3,4,15,7,8,6,19,3,22,4,6
4,,,0.036710735,0.054590571,0.024,0.04950495,0.031468531,0.029126214,0,0.040322581,0.049295775,0.032786885,0.025316456,0.023809524,0.015706806,0.079847909,0.045454545,0.029850746,0.071090047,0.022653722,0.035555556,0.036809816,0.053521127,0.008955224,0.057591623,0.009803922,0.075949367
5,"If the election were today, would you want to see the Republican Party or the Democratic Party win control of the U.S. Congress?",Republican Party,418.8043188,212,207,182,121,115,23,46,61,72,75,79,370,18,31,29,85,164,125,5,109,295,6,381,28
5,,,0.46430634,0.527363184,0.414,0.600660066,0.423076923,0.372168285,0.359375,0.370967742,0.426573427,0.590163934,0.474683544,0.467455621,0.645724258,0.068441065,0.462686567,0.21641791,0.402843602,0.532467532,0.553097345,0.030674847,0.307042254,0.87797619,0.015706806,0.933823529,0.35443038
5,,Democratic Party,371.4550241,126,245,82,129,158,29,69,63,31,63,72,153,191,28,72,83,123,88,149,172,29,345,4,19
5,,,0.411812665,0.313432836,0.49,0.270627063,0.451048951,0.511326861,0.453125,0.556451613,0.440559441,0.254098361,0.398734177,0.426035503,0.267015707,0.726235741,0.417910448,0.537313433,0.393364929,0.399350649,0.389380531,0.914110429,0.484507042,0.086309524,0.903141361,0.009803922,0.240506329
5,,Don't know,111.7406572,64,48,39,36,36,12,9,19,19,20,18,50,54,8,33,43,21,13,9,74,12,31,23,32
5,,,0.123880995,0.15920398,0.096,0.128712871,0.125874126,0.116504854,0.1875,0.072580645,0.132867133,0.155737705,0.126582278,0.106508876,0.087260035,0.205323194,0.119402985,0.246268657,0.203791469,0.068181818,0.057522124,0.055214724,0.208450704,0.035714286,0.081151832,0.056372549,0.405063291
