qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
2,,,0.066261022,0.065340909,0.066964286,0.106666667,0.068322981,0.041062802,0.153846154,0.111111111,0.028037383,0.074074074,0.016,0.056818182,0.041474654,0.093655589,0.105263158,0,0.082608696,0.055776892,0.074074074,0.035634744,0.101796407,0.078014184,0.12,0.050505051,0.071428571
2,,Don't know,27.57642374,11,16,13,8,7,3,4,2,2,7,2,10,16,2,0,6,4,10,14,1,2,1,25,1
2,,,0.034384568,0.03125,0.035714286,0.057777778,0.049689441,0.016908213,0.046153846,0.044444444,0.018691589,0.018518519,0.056,0.011363636,0.023041475,0.048338369,0.052631579,0,0.026086957,0.015936255,0.046296296,0.031180401,0.005988024,0.014184397,0.01,0.042087542,0.014285714
3,Did you vote in the initial election for Atlanta mayor held on Nov. 2?,Yes,706.6643752,301,405,193,136,376,57,74,99,93,115,156,386,287,34,54,190,214,204,398,141,133,86,524,64
3,,,0.88112765,0.855113636,0.902004454,0.861607143,0.839506173,0.90821256,0.890625,0.822222222,0.933962264,0.853211009,0.927419355,0.886363636,0.891454965,0.867069486,0.894736842,0.931034483,0.822510823,0.859437751,0.944444444,0.888392857,0.839285714,0.95,0.868686869,0.883642496,0.914285714
3,,No ,95.33562483,51,44,31,26,38,7,16,7,16,9,20,47,44,4,4,41,35,12,50,27,7,13,69,6
3,,,0.11887235,0.144886364,0.097995546,0.138392857,0.160493827,0.09178744,0.109375,0.177777778,0.066037736,0.146788991,0.072580645,0.113636364,0.108545035,0.132930514,0.105263158,0.068965517,0.177489177,0.140562249,0.055555556,0.111607143,0.160714286,0.05,0.131313131,0.116357504,0.085714286
4,"If you did vote on Nov. 2, for whom did you vote? ",Andre Dickens,191.6749224,84,108,46,43,103,12,22,26,24,45,45,86,101,5,15,74,52,43,131,36,18,11,167,7
4,,,0.238996163,0.278145695,0.266666667,0.237113402,0.313868613,0.27393617,0.210526316,0.293333333,0.265306122,0.260869565,0.387931034,0.288461538,0.222797927,0.351916376,0.151515152,0.272727273,0.389473684,0.242990654,0.209756098,0.329145729,0.257142857,0.133333333,0.126436782,0.31870229,0.107692308
4,,Felicia Moore,244.6452849,107,138,24,36,185,10,16,26,44,39,76,187,42,15,31,68,81,59,135,62,44,46,183,12
4,,,0.305043996,0.354304636,0.340740741,0.12371134,0.262773723,0.492021277,0.175438596,0.213333333,0.265306122,0.47826087,0.336206897,0.487179487,0.484455959,0.146341463,0.454545455,0.563636364,0.357894737,0.378504673,0.287804878,0.33919598,0.442857143,0.325925926,0.528735632,0.349236641,0.184615385
