qnum,Question,Response,Total,Male,Female,Democrat,Republican,Independent,White,Black,North Ga.,Atl. exurbs,Atl. metro,Southeast Ga.,Southwest Ga.
5,,,0.59,0.53,0.63,0.54,0.52,0.64,0.53,0.81,0.49,0.63,0.73,0.03,1
5,,   Not so enthusiastic,5,3,1,-,-,3,5,-,-,3,*,2,-
5,,,0.08,0.13,0.04,- ,- ,0.1,0.09,- ,- ,0.11,0.03,0.22,- 
5,,   Not enthusiastic at all,7,4,3,-,2,4,7,-,1,1,2,3,-
5,,,0.11,0.16,0.08,- ,0.15,0.11,0.14,- ,0.09,0.03,0.24,0.49,- 
5,, Don't know/no answer,2,*,1,-,-,-,2,-,1,-,-,*,-
5,,,0.03,0.02,0.03,- ,- ,- ,0.03,- ,0.09,- ,- ,0.07,- 
6,"If the election for governor were being held today and the candidates were Nathan Deal, the  Republican, Jason Carter, the Democrat and Andrew Hunt the Libertarian for whom would you vote?  (Includes undecided voters who are leaning toward a candidate and people who have already voted)", Deal,436,254,183,11,276,113,396,18,99,136,72,70,60
6,,,0.46,0.53,0.39,0.03,0.87,0.52,0.66,0.06,0.62,0.5,0.29,0.48,0.46
6,, Carter,385,159,226,281,16,67,133,224,42,92,153,47,52
6,,,0.41,0.33,0.48,0.91,0.05,0.3,0.22,0.81,0.26,0.34,0.62,0.33,0.4
6,, Hunt,52,28,24,5,14,22,42,6,8,24,4,9,6
6,,,0.05,0.06,0.05,0.01,0.04,0.1,0.07,0.02,0.05,0.09,0.02,0.06,0.05
6,, Other candidate,2,*,1,1,1,-,1,1,-,*,-,1,*
6,,,* ,* ,* ,* ,* ,- ,* ,* ,- ,* ,- ,0.01,* 
6,, Neither,9,4,5,3,2,3,5,4,*,1,6,1,*
6,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,* ,* ,0.02,0.01,* 
6,, Would not vote,3,3,*,2,1,-,1,2,1,-,*,2,-
6,,,* ,0.01,* ,0.01,* ,- ,* ,0.01,* ,- ,* ,0.02,- 
6,, Don't know/no answer,62,30,32,7,7,14,23,22,9,17,12,14,10
6,,,0.07,0.06,0.07,0.02,0.02,0.06,0.04,0.08,0.05,0.06,0.05,0.09,0.08
