qnum,Question,Responses,Total,White,Black,Other,Male,Female,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study,18-30,31-45,46-64,65+,Democrat,Independent,Republican
3,,,0.20,0.12,0.25,0.19,0.22,0.19,0.19,0.26,0.12,0.22,0.30,0.23,0.21,0.23,0.23,0.19,0.20,0.27,0.25,0.26,0.13,0.22,0.15,0.04
3,,Don't know,329.77,115.00,196.00,18.00,126.00,204.00,27.00,39.00,74.00,55.00,45.00,42.00,47.00,55.00,14.00,121.00,89.00,18.00,49.00,112.00,137.00,262.00,29.00,24.00
3,,,0.70,0.75,0.67,0.69,0.69,0.70,0.75,0.68,0.79,0.66,0.55,0.70,0.76,0.66,0.64,0.69,0.70,0.60,0.62,0.62,0.83,0.68,0.74,0.86
4,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Approve,33.59,29.00,3.00,1.00,21.00,13.00,1.00,3.00,4.00,6.00,7.00,6.00,5.00,10.00,2.00,7.00,9.00,2.00,5.00,12.00,11.00,6.00,6.00,19.00
4,,,0.07,0.19,0.01,0.04,0.11,0.04,0.03,0.05,0.04,0.07,0.09,0.10,0.08,0.12,0.08,0.04,0.07,0.07,0.06,0.07,0.07,0.02,0.15,0.70
4,,Disapprove,426.49,124.00,281.00,22.00,162.00,265.00,35.00,51.00,88.00,76.00,73.00,55.00,54.00,70.00,22.00,164.00,114.00,25.00,74.00,165.00,146.00,369.00,32.00,7.00
4,,,0.90,0.80,0.96,0.85,0.88,0.91,0.97,0.89,0.95,0.90,0.89,0.90,0.87,0.85,0.92,0.94,0.90,0.83,0.93,0.92,0.89,0.96,0.82,0.26
4,,Don't know,12.92,2.00,8.00,3.00,1.00,12.00,0.00,3.00,1.00,2.00,2.00,0.00,3.00,2.00,0.00,4.00,4.00,3.00,1.00,2.00,7.00,10.00,1.00,1.00
4,,,0.03,0.01,0.03,0.12,0.01,0.04,0.00,0.05,0.01,0.02,0.02,0.00,0.05,0.02,0.00,0.02,0.03,0.10,0.01,0.01,0.04,0.03,0.03,0.04
5,Do you approve or disapprove of the way Nathan Deal is handling his job as Governor of Georgia?,Approve,227.69,82.00,136.00,10.00,93.00,135.00,16.00,26.00,48.00,47.00,34.00,27.00,39.00,47.00,10.00,68.00,62.00,12.00,34.00,84.00,85.00,180.00,17.00,21.00
5,,,0.48,0.53,0.46,0.38,0.51,0.47,0.44,0.46,0.51,0.57,0.41,0.44,0.64,0.57,0.45,0.39,0.49,0.40,0.43,0.47,0.52,0.47,0.44,0.75
5,,Disapprove,198.32,64.00,123.00,12.00,71.00,127.00,16.00,22.00,39.00,26.00,43.00,30.00,20.00,26.00,7.00,87.00,56.00,12.00,37.00,84.00,59.00,171.00,15.00,5.00
5,,,0.42,0.41,0.42,0.46,0.39,0.44,0.44,0.39,0.41,0.31,0.52,0.49,0.33,0.32,0.32,0.49,0.44,0.40,0.47,0.47,0.36,0.44,0.38,0.18
5,,Don't know,46.99,9.00,34.00,4.00,19.00,28.00,4.00,9.00,7.00,10.00,5.00,4.00,2.00,9.00,5.00,21.00,9.00,6.00,8.00,12.00,21.00,34.00,7.00,2.00
5,,,0.10,0.06,0.12,0.15,0.10,0.10,0.11,0.16,0.07,0.12,0.06,0.07,0.03,0.11,0.23,0.12,0.07,0.20,0.10,0.07,0.13,0.09,0.18,0.07
6,Do you have a favorable or an unfavorable opinion of Congess?,Approve,52.84,17.00,34.00,2.00,17.00,36.00,6.00,11.00,7.00,9.00,9.00,4.00,10.00,11.00,3.00,17.00,12.00,3.00,11.00,21.00,16.00,45.00,2.00,5.00
6,,,0.11,0.11,0.12,0.08,0.09,0.12,0.17,0.19,0.07,0.11,0.11,0.07,0.16,0.13,0.13,0.10,0.10,0.10,0.14,0.12,0.10,0.12,0.05,0.19
6,,Disapprove,387.17,129.00,238.00,20.00,156.00,232.00,25.00,40.00,85.00,67.00,71.00,54.00,39.00,69.00,19.00,149.00,107.00,24.00,62.00,152.00,133.00,318.00,33.00,19.00
6,,,0.82,0.83,0.82,0.77,0.85,0.80,0.69,0.70,0.90,0.81,0.87,0.89,0.64,0.84,0.83,0.85,0.85,0.80,0.78,0.85,0.81,0.82,0.85,0.70
6,,Don't know,32.99,9.00,20.00,4.00,11.00,22.00,5.00,6.00,2.00,7.00,2.00,3.00,12.00,2.00,1.00,9.00,7.00,3.00,6.00,6.00,15.00,23.00,4.00,3.00
6,,,0.07,0.06,0.07,0.15,0.06,0.08,0.14,0.11,0.02,0.08,0.02,0.05,0.20,0.02,0.04,0.05,0.06,0.10,0.08,0.03,0.09,0.06,0.10,0.11
7,Do you have a favorable or an unfavorable opinion of your representative in Congress?,Approve,165.45,48.00,110.00,7.00,57.00,108.00,17.00,17.00,32.00,33.00,26.00,16.00,20.00,23.00,10.00,61.00,51.00,10.00,29.00,62.00,57.00,135.00,9.00,15.00
7,,,0.35,0.31,0.38,0.27,0.31,0.37,0.47,0.30,0.34,0.39,0.31,0.26,0.33,0.28,0.43,0.35,0.40,0.33,0.37,0.34,0.35,0.35,0.23,0.56
7,,Disapprove,221.53,81.00,128.00,13.00,94.00,127.00,10.00,29.00,44.00,36.00,45.00,36.00,23.00,40.00,10.00,87.00,59.00,13.00,36.00,91.00,74.00,187.00,21.00,5.00
7,,,0.05,0.52,0.44,0.50,0.51,0.44,0.28,0.51,0.47,0.43,0.54,0.59,0.38,0.49,0.43,0.49,0.47,0.43,0.46,0.51,0.45,0.48,0.54,0.19
7,,Don't know,86.02,26.00,55.00,6.00,32.00,54.00,9.00,11.00,17.00,15.00,12.00,9.00,18.00,19.00,3.00,28.00,16.00,7.00,14.00,27.00,33.00,64.00,9.00,7.00
7,,,0.18,0.17,0.19,0.23,0.17,0.19,0.25,0.19,0.18,0.18,0.14,0.15,0.30,0.23,0.13,0.16,0.13,0.23,0.18,0.15,0.20,0.17,0.23,0.26
8,Do you have a favorable or an unfavorable opinion of the Georgia Legislature?,Approve,145.39,44.00,96.00,6.00,51.00,95.00,15.00,20.00,32.00,31.00,14.00,12.00,24.00,22.00,7.00,55.00,37.00,11.00,35.00,51.00,39.00,109.00,11.00,18.00
8,,,0.31,0.28,0.33,0.23,0.28,0.33,0.42,0.35,0.34,0.37,0.17,0.19,0.39,0.27,0.30,0.31,0.29,0.37,0.44,0.28,0.24,0.28,0.28,0.67
8,,Disapprove,245.30,86.00,144.00,16.00,103.00,142.00,14.00,30.00,41.00,37.00,57.00,42.00,21.00,49.00,13.00,92.00,69.00,14.00,34.00,106.00,85.00,213.00,21.00,5.00
8,,,0.52,0.55,0.49,0.62,0.56,0.49,0.39,0.53,0.44,0.45,0.69,0.68,0.34,0.60,0.57,0.53,0.54,0.47,0.43,0.59,0.52,0.55,0.54,0.19
8,,Don't know,82.31,25.00,53.00,4.00,30.00,52.00,7.00,7.00,21.00,15.00,12.00,8.00,17.00,11.00,3.00,28.00,21.00,5.00,10.00,22.00,40.00,63.00,7.00,4.00
8,,,0.17,0.16,0.18,0.15,0.16,0.18,0.19,0.12,0.22,0.18,0.14,0.13,0.27,0.13,0.13,0.16,0.17,0.17,0.13,0.12,0.24,0.16,0.18,0.15
9,Do you have a favorable or an unfavorable opinion of the NRA?,Approve,55.90,29.00,25.00,3.00,30.00,26.00,2.00,10.00,13.00,8.00,11.00,6.00,13.00,17.00,2.00,13.00,10.00,7.00,12.00,16.00,18.00,29.00,8.00,16.00
9,,,0.12,0.19,0.09,0.12,0.16,0.09,0.06,0.17,0.14,0.10,0.13,0.10,0.21,0.21,0.09,0.07,0.08,0.23,0.15,0.09,0.11,0.08,0.21,0.59
9,,Disapprove,388.54,123.00,247.00,19.00,145.00,243.00,30.00,43.00,73.00,73.00,70.00,53.00,41.00,61.00,19.00,156.00,110.00,22.00,65.00,156.00,130.00,338.00,27.00,9.00
9,,,0.82,0.79,0.84,0.73,0.79,0.84,0.86,0.74,0.78,0.88,0.85,0.87,0.66,0.74,0.83,0.89,0.87,0.73,0.82,0.87,0.79,0.88,0.69,0.33
9,,Don't know,28.56,3.00,21.00,4.00,8.00,20.00,3.00,5.00,8.00,2.00,1.00,2.00,8.00,4.00,2.00,7.00,7.00,1.00,2.00,7.00,17.00,18.00,4.00,2.00
9,,,0.06,0.02,0.07,0.15,0.04,0.07,0.09,0.09,0.09,0.02,0.01,0.03,0.13,0.05,0.09,0.04,0.06,0.03,0.03,0.04,0.10,0.05,0.10,0.07
10,Do you have a favorable or an unfavorable opinion of the Republican Party?,Approve,35.20,25.00,10.00,0.00,19.00,16.00,2.00,5.00,7.00,5.00,7.00,5.00,8.00,10.00,2.00,9.00,7.00,6.00,6.00,9.00,12.00,8.00,3.00,20.00
10,,,0.07,0.16,0.03,0.00,0.10,0.06,0.06,0.09,0.08,0.06,0.09,0.08,0.13,0.12,0.08,0.05,0.06,0.20,0.08,0.05,0.07,0.02,0.08,0.74
10,,Disapprove,410.41,124.00,265.00,22.00,152.00,259.00,30.00,51.00,83.00,71.00,73.00,54.00,51.00,69.00,21.00,159.00,109.00,22.00,68.00,164.00,142.00,363.00,31.00,5.00
10,,,0.87,0.79,0.91,0.88,0.83,0.89,0.83,0.89,0.89,0.87,0.89,0.89,0.82,0.84,0.88,0.90,0.86,0.73,0.86,0.92,0.86,0.94,0.79,0.19
10,,Don't know,27.39,7.00,17.00,3.00,13.00,15.00,4.00,1.00,3.00,6.00,2.00,2.00,3.00,3.00,1.00,8.00,11.00,2.00,5.00,6.00,11.00,14.00,5.00,2.00
10,,,0.06,0.04,0.06,0.12,0.07,0.05,0.11,0.02,0.03,0.07,0.02,0.03,0.05,0.04,0.04,0.05,0.09,0.07,0.06,0.03,0.07,0.04,0.13,0.07
11,Do you have a favorable or an unfavorable opinion of the Democratic Party? ,Approve,340.94,107.00,220.00,13.00,123.00,218.00,22.00,43.00,71.00,61.00,60.00,43.00,45.00,49.00,18.00,137.00,90.00,18.00,53.00,132.00,127.00,315.00,7.00,9.00
11,,,0.72,0.69,0.75,0.52,0.67,0.75,0.61,0.75,0.76,0.73,0.73,0.70,0.74,0.60,0.75,0.78,0.71,0.60,0.67,0.73,0.77,0.82,0.18,0.33
11,,Disapprove,96.96,39.00,50.00,8.00,44.00,53.00,7.00,12.00,17.00,14.00,21.00,15.00,10.00,28.00,5.00,28.00,26.00,10.00,21.00,37.00,24.00,47.00,26.00,16.00
11,,,0.20,0.25,0.17,0.32,0.24,0.18,0.19,0.21,0.18,0.17,0.26,0.25,0.16,0.35,0.21,0.16,0.20,0.33,0.27,0.21,0.15,0.12,0.67,0.59
11,,Don't know,35.10,8.00,22.00,4.00,17.00,19.00,7.00,2.00,5.00,8.00,1.00,3.00,6.00,4.00,1.00,11.00,11.00,2.00,5.00,11.00,14.00,23.00,6.00,2.00
11,,,0.07,0.05,0.08,0.16,0.09,0.07,0.19,0.04,0.05,0.10,0.01,0.05,0.10,0.05,0.04,0.06,0.09,0.07,0.06,0.06,0.08,0.06,0.15,0.07
12,Do you have a favorable or an unfavorable opinion of Delta Airlines?,Approve,363.14,122.00,223.00,18.00,139.00,224.00,19.00,40.00,72.00,68.00,66.00,54.00,39.00,61.00,14.00,145.00,103.00,24.00,66.00,146.00,112.00,309.00,24.00,16.00
12,,,0.08,0.78,0.76,0.72,0.76,0.77,0.54,0.70,0.77,0.82,0.80,0.87,0.64,0.74,0.61,0.83,0.81,0.80,0.84,0.82,0.68,0.80,0.63,0.59
12,,Disapprove,44.77,12.00,29.00,4.00,13.00,32.00,8.00,8.00,7.00,4.00,9.00,6.00,6.00,15.00,5.00,12.00,6.00,2.00,8.00,20.00,12.00,33.00,6.00,5.00
12,,,0.09,0.08,0.10,0.16,0.07,0.11,0.23,0.14,0.07,0.05,0.11,0.10,0.10,0.18,0.22,0.07,0.05,0.07,0.10,0.11,0.07,0.09,0.16,0.19
12,,Don't know,65.09,22.00,41.00,3.00,31.00,34.00,8.00,9.00,15.00,11.00,7.00,2.00,16.00,6.00,4.00,18.00,18.00,4.00,5.00,13.00,41.00,43.00,8.00,6.00
12,,,0.14,0.14,0.14,0.12,0.17,0.12,0.23,0.16,0.16,0.13,0.09,0.03,0.26,0.07,0.17,0.10,0.14,0.13,0.06,0.07,0.25,0.11,0.21,0.22
