qnum,Question,Responses,Total,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",Male,Female,Democrat,Independent,Republican,White,Non-white,18-30,31-45,46-64,65+,High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study
2,,Don't know,168.01,8.00,21.00,28.00,14.00,29.00,31.00,64.00,104.00,15.00,12.00,129.00,153.00,15.00,12.00,25.00,62.00,64.00,28.00,42.00,11.00,63.00,24.00
2,,,0.33,0.35,0.40,0.35,0.17,0.27,0.37,0.26,0.40,0.71,0.36,0.29,0.32,0.44,0.43,0.33,0.34,0.31,0.37,0.37,0.33,0.33,0.25
3,"If the election for lieutenant governor were being held today, for whom would you vote? ",David Shafer,73.01,3.00,7.00,11.00,12.00,23.00,8.00,45.00,28.00,3.00,7.00,63.00,68.00,5.00,5.00,12.00,28.00,26.00,9.00,18.00,2.00,27.00,17.00
3,,,0.14,0.13,0.14,0.14,0.14,0.21,0.10,0.18,0.11,0.14,0.22,0.14,0.14,0.15,0.18,0.16,0.15,0.13,0.12,0.16,0.06,0.14,0.18
3,,Geoff Duncan,61.56,2.00,2.00,8.00,18.00,11.00,14.00,38.00,23.00,0.00,4.00,57.00,58.00,4.00,5.00,10.00,25.00,21.00,6.00,11.00,2.00,27.00,16.00
3,,,0.12,0.09,0.04,0.10,0.22,0.10,0.17,0.15,0.09,0.00,0.13,0.13,0.12,0.12,0.18,0.13,0.14,0.10,0.08,0.10,0.06,0.14,0.17
3,,Rick Jeffares,33.85,0.00,6.00,4.00,4.00,11.00,1.00,23.00,11.00,3.00,2.00,28.00,30.00,4.00,4.00,4.00,11.00,13.00,9.00,9.00,1.00,10.00,5.00
3,,,0.07,0.00,0.12,0.05,0.05,0.10,0.01,0.09,0.04,0.14,0.06,0.06,0.06,0.12,0.14,0.05,0.06,0.06,0.12,0.08,0.03,0.05,0.05
3,,Don't know,338.58,18.00,36.00,57.00,49.00,63.00,60.00,145.00,193.00,15.00,19.00,290.00,318.00,20.00,14.00,50.00,118.00,147.00,51.00,77.00,29.00,125.00,56.00
3,,,0.67,0.78,0.71,0.71,0.59,0.58,0.72,0.58,0.76,0.71,0.59,0.66,0.67,0.61,0.50,0.66,0.65,0.71,0.68,0.67,0.85,0.66,0.60
4,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Approve,405.69,19.00,43.00,58.00,70.00,89.00,61.00,206.00,200.00,3.00,7.00,386.00,381.00,24.00,13.00,62.00,142.00,178.00,64.00,90.00,31.00,151.00,69.00
4,,,0.80,0.79,0.83,0.73,0.83,0.82,0.73,0.82,0.78,0.15,0.22,0.88,0.81,0.73,0.46,0.82,0.78,0.86,0.85,0.78,0.91,0.80,0.73
4,,Disapprove,78.89,3.00,6.00,18.00,10.00,14.00,20.00,37.00,42.00,17.00,24.00,34.00,72.00,7.00,15.00,10.00,29.00,24.00,8.00,15.00,2.00,33.00,21.00
4,,,0.16,0.13,0.12,0.23,0.12,0.13,0.24,0.15,0.16,0.85,0.75,0.08,0.15,0.21,0.54,0.13,0.16,0.12,0.11,0.13,0.06,0.18,0.22
4,,Don't know,22.42,2.00,3.00,3.00,4.00,5.00,2.00,8.00,15.00,0.00,1.00,19.00,20.00,2.00,0.00,4.00,12.00,6.00,3.00,10.00,1.00,4.00,5.00
4,,,0.04,0.08,0.06,0.04,0.05,0.05,0.02,0.03,0.06,0.00,0.03,0.04,0.04,0.06,0.00,0.05,0.07,0.03,0.04,0.09,0.03,0.02,0.05
5,Do you approve or disapprove of the way Nathan Deal is handling his job as Governor of Georgia?,Approve,432.03,23.00,43.00,66.00,72.00,96.00,70.00,217.00,215.00,10.00,28.00,382.00,404.00,28.00,25.00,65.00,154.00,178.00,60.00,98.00,27.00,171.00,74.00
5,,,0.85,0.96,0.84,0.84,0.87,0.89,0.84,0.87,0.84,0.50,0.88,0.87,0.85,0.85,0.89,0.86,0.84,0.86,0.80,0.85,0.79,0.91,0.78
5,,Disapprove,37.38,0.00,4.00,9.00,5.00,5.00,7.00,16.00,21.00,6.00,2.00,29.00,34.00,3.00,3.00,7.00,13.00,14.00,8.00,7.00,3.00,11.00,10.00
5,,,0.07,0.00,0.08,0.11,0.06,0.05,0.08,0.06,0.08,0.30,0.06,0.07,0.07,0.09,0.11,0.09,0.07,0.07,0.11,0.06,0.09,0.06,0.11
5,,Don't know,37.59,1.00,4.00,4.00,6.00,7.00,6.00,17.00,20.00,4.00,2.00,28.00,35.00,2.00,0.00,4.00,16.00,16.00,7.00,10.00,4.00,6.00,11.00
5,,,0.07,0.04,0.08,0.05,0.07,0.06,0.07,0.07,0.08,0.20,0.06,0.06,0.07,0.06,0.00,0.05,0.09,0.08,0.09,0.09,0.12,0.03,0.12
6,Do you have a favorable or an unfavorable opinion of Congess?,Approve,91.30,5.00,6.00,20.00,14.00,20.00,9.00,35.00,56.00,5.00,1.00,84.00,86.00,5.00,14.00,21.00,29.00,27.00,17.00,24.00,4.00,35.00,12.00
6,,,0.18,0.22,0.12,0.25,0.17,0.19,0.11,0.14,0.22,0.25,0.03,0.19,0.18,0.15,0.48,0.28,0.16,0.13,0.23,0.21,0.11,0.19,0.13
6,,Disapprove,372.16,13.00,39.00,56.00,66.00,78.00,68.00,204.00,168.00,13.00,29.00,317.00,349.00,24.00,13.00,49.00,141.00,159.00,47.00,81.00,28.00,141.00,75.00
6,,,0.73,0.57,0.75,0.71,0.79,0.73,0.82,0.81,0.66,0.65,0.91,0.72,0.74,0.71,0.45,0.65,0.77,0.76,0.63,0.70,0.80,0.75,0.80
6,,Don't know,43.54,5.00,7.00,3.00,4.00,9.00,6.00,12.00,32.00,2.00,2.00,37.00,39.00,5.00,2.00,5.00,14.00,22.00,11.00,10.00,3.00,12.00,7.00
6,,,0.09,0.22,0.13,0.04,0.05,0.08,0.07,0.05,0.13,0.10,0.06,0.08,0.08,0.15,0.07,0.07,0.08,0.11,0.15,0.09,0.09,0.06,0.07
7,Do you have a favorable or an unfavorable opinion of your representative in Congress?,Approve,313.62,14.00,36.00,47.00,56.00,69.00,54.00,164.00,150.00,5.00,9.00,293.00,296.00,17.00,21.00,49.00,108.00,127.00,48.00,72.00,18.00,121.00,52.00
7,,,0.62,0.58,0.69,0.59,0.67,0.64,0.65,0.65,0.59,0.25,0.27,0.67,0.63,0.52,0.72,0.65,0.59,0.61,0.65,0.63,0.53,0.64,0.55
7,,Disapprove,110.72,4.00,8.00,19.00,13.00,26.00,21.00,62.00,49.00,11.00,18.00,77.00,101.00,9.00,8.00,14.00,44.00,41.00,10.00,24.00,7.00,38.00,31.00
