qnum,Question,Responses,Total,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",Male,Female,Democrat,Independent,Republican,White,Non-white,18-30,31-45,46-64,65+,High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study
17,How important the following issue will be in determining how you vote: state taxes?,Very Important,170.84,8.00,22.00,21.00,24.00,41.00,32.00,102.00,69.00,2.00,6.00,158.00,155.00,16.00,5.00,30.00,72.00,61.00,30.00,35.00,13.00,65.00,26.00
17,,,0.34,0.35,0.43,0.26,0.29,0.38,0.39,0.41,0.27,0.10,0.19,0.36,0.33,0.47,0.18,0.40,0.40,0.29,0.40,0.31,0.38,0.34,0.28
17,,Important,172.26,7.00,15.00,30.00,37.00,34.00,21.00,75.00,97.00,7.00,9.00,149.00,163.00,9.00,16.00,18.00,65.00,70.00,30.00,41.00,11.00,65.00,26.00
17,,,0.34,0.30,0.29,0.38,0.44,0.31,0.25,0.30,0.38,0.33,0.28,0.34,0.35,0.26,0.57,0.24,0.36,0.34,0.40,0.36,0.32,0.34,0.28
17,,Fairly Important,75.91,3.00,6.00,17.00,10.00,19.00,15.00,37.00,39.00,5.00,9.00,60.00,73.00,2.00,3.00,18.00,17.00,34.00,4.00,23.00,4.00,24.00,21.00
17,,,0.15,0.13,0.12,0.21,0.12,0.18,0.18,0.15,0.15,0.24,0.28,0.14,0.15,0.06,0.11,0.24,0.09,0.16,0.05,0.20,0.12,0.13,0.22
17,,Slightly Important,36.09,2.00,1.00,4.00,6.00,8.00,10.00,17.00,19.00,3.00,5.00,27.00,34.00,2.00,2.00,4.00,20.00,9.00,5.00,7.00,2.00,9.00,13.00
17,,,0.07,0.09,0.02,0.05,0.07,0.07,0.12,0.07,0.07,0.14,0.16,0.06,0.07,0.06,0.07,0.05,0.11,0.04,0.07,0.06,0.06,0.05,0.14
17,,Not Important,39.65,1.00,5.00,5.00,5.00,5.00,5.00,16.00,24.00,2.00,2.00,36.00,37.00,3.00,2.00,4.00,5.00,26.00,4.00,4.00,2.00,21.00,8.00
17,,,0.08,0.04,0.10,0.06,0.06,0.05,0.06,0.06,0.09,0.10,0.06,0.08,0.08,0.09,0.07,0.05,0.03,0.13,0.05,0.04,0.06,0.11,0.09
17,,Don't know,12.24,2.00,2.00,3.00,2.00,1.00,0.00,4.00,8.00,2.00,1.00,9.00,10.00,2.00,0.00,1.00,3.00,8.00,2.00,4.00,2.00,5.00,0.00
17,,,0.02,0.09,0.04,0.04,0.02,0.01,0.00,0.02,0.03,0.10,0.03,0.02,0.02,0.06,0.00,0.01,0.02,0.04,0.03,0.04,0.06,0.03,0.00
18,How important the following issue will be in determining how you vote: preserving gun laws?,Very Important,250.51,12.00,33.00,42.00,42.00,53.00,35.00,134.00,117.00,8.00,7.00,229.00,233.00,17.00,5.00,35.00,92.00,111.00,40.00,67.00,22.00,93.00,28.00
18,,,0.49,0.50,0.63,0.53,0.49,0.49,0.43,0.53,0.46,0.38,0.21,0.52,0.49,0.52,0.17,0.47,0.50,0.53,0.54,0.58,0.65,0.49,0.30
18,,Important,144.34,8.00,18.00,19.00,23.00,33.00,17.00,64.00,80.00,2.00,8.00,130.00,135.00,10.00,10.00,24.00,50.00,59.00,27.00,31.00,6.00,51.00,30.00
18,,,0.28,0.33,0.35,0.24,0.27,0.31,0.21,0.25,0.31,0.10,0.24,0.30,0.29,0.30,0.34,0.32,0.27,0.28,0.36,0.27,0.18,0.27,0.32
18,,Fairly Important,34.72,0.00,0.00,4.00,9.00,10.00,8.00,14.00,21.00,2.00,0.00,31.00,33.00,2.00,2.00,5.00,15.00,11.00,1.00,8.00,1.00,14.00,11.00
18,,,0.07,0.00,0.00,0.05,0.11,0.09,0.10,0.06,0.08,0.10,0.00,0.07,0.07,0.06,0.07,0.07,0.08,0.05,0.01,0.07,0.03,0.07,0.12
18,,Slightly Important,24.75,1.00,0.00,3.00,6.00,5.00,5.00,11.00,14.00,2.00,2.00,21.00,23.00,1.00,3.00,2.00,10.00,9.00,1.00,4.00,0.00,10.00,9.00
18,,,0.05,0.04,0.00,0.04,0.07,0.05,0.06,0.04,0.05,0.10,0.06,0.05,0.05,0.03,0.10,0.03,0.05,0.04,0.01,0.03,0.00,0.05,0.10
18,,Not Important,43.26,1.00,1.00,8.00,5.00,7.00,15.00,26.00,18.00,6.00,14.00,21.00,41.00,2.00,9.00,9.00,14.00,11.00,3.00,4.00,2.00,19.00,15.00
18,,,0.09,0.04,0.02,0.10,0.06,0.06,0.18,0.10,0.07,0.29,0.42,0.05,0.09,0.06,0.31,0.12,0.08,0.05,0.04,0.03,0.06,0.10,0.16
18,,Don't know,9.42,2.00,0.00,3.00,0.00,0.00,2.00,3.00,6.00,1.00,2.00,6.00,8.00,1.00,0.00,0.00,2.00,7.00,2.00,2.00,3.00,2.00,1.00
18,,,0.02,0.08,0.00,0.04,0.00,0.00,0.02,0.01,0.02,0.05,0.06,0.01,0.02,0.03,0.00,0.00,0.01,0.03,0.03,0.02,0.09,0.01,0.01
19,How important the following issue will be in determining how you vote: protecting religious liberty?,Very Important,341.37,19.00,43.00,57.00,55.00,72.00,46.00,172.00,170.00,9.00,6.00,316.00,317.00,24.00,14.00,39.00,123.00,156.00,57.00,81.00,28.00,122.00,53.00
19,,,0.67,0.79,0.84,0.72,0.66,0.67,0.55,0.69,0.66,0.41,0.19,0.72,0.67,0.73,0.48,0.52,0.67,0.75,0.76,0.70,0.82,0.65,0.56
19,,Important,105.30,4.00,3.00,16.00,19.00,23.00,20.00,54.00,51.00,5.00,11.00,86.00,101.00,4.00,10.00,23.00,38.00,34.00,14.00,25.00,5.00,40.00,20.00
19,,,0.21,0.17,0.06,0.20,0.23,0.21,0.24,0.22,0.20,0.23,0.34,0.20,0.21,0.12,0.34,0.31,0.21,0.16,0.19,0.22,0.15,0.21,0.21
19,,Fairly Important,24.40,1.00,2.00,3.00,3.00,4.00,7.00,6.00,18.00,4.00,3.00,17.00,24.00,1.00,5.00,4.00,6.00,9.00,0.00,5.00,0.00,14.00,5.00
19,,,0.05,0.04,0.04,0.04,0.04,0.04,0.08,0.02,0.07,0.18,0.09,0.04,0.05,0.03,0.17,0.05,0.03,0.04,0.00,0.04,0.00,0.07,0.05
19,,Slightly Important,15.98,0.00,0.00,0.00,2.00,6.00,6.00,8.00,8.00,1.00,6.00,9.00,14.00,2.00,0.00,5.00,9.00,1.00,0.00,2.00,0.00,6.00,8.00
19,,,0.03,0.00,0.00,0.00,0.02,0.06,0.07,0.03,0.03,0.05,0.19,0.02,0.03,0.06,0.00,0.07,0.05,0.00,0.00,0.02,0.00,0.03,0.09
19,,Not Important,13.67,0.00,2.00,2.00,3.00,1.00,4.00,10.00,4.00,2.00,6.00,6.00,12.00,1.00,0.00,4.00,5.00,4.00,1.00,1.00,0.00,5.00,7.00
19,,,0.03,0.00,0.04,0.03,0.04,0.01,0.05,0.04,0.02,0.09,0.19,0.01,0.03,0.03,0.00,0.05,0.03,0.02,0.01,0.01,0.00,0.03,0.07
19,,Don't know,6.27,0.00,1.00,1.00,1.00,1.00,0.00,1.00,5.00,1.00,0.00,5.00,5.00,1.00,0.00,0.00,2.00,4.00,3.00,1.00,1.00,1.00,1.00
19,,,0.01,0.00,0.02,0.01,0.01,0.01,0.00,0.00,0.02,0.05,0.00,0.01,0.01,0.03,0.00,0.00,0.01,0.02,0.04,0.01,0.03,0.01,0.01
20,How important the following issue will be in determining how you vote: the quality of public education?,Very Important,350.27,20.00,35.00,56.00,58.00,77.00,49.00,168.00,182.00,18.00,25.00,294.00,324.00,27.00,22.00,53.00,121.00,144.00,53.00,79.00,24.00,134.00,60.00
20,,,0.69,0.83,0.67,0.70,0.69,0.71,0.59,0.67,0.71,0.86,0.76,0.67,0.68,0.79,0.76,0.71,0.66,0.69,0.71,0.69,0.71,0.71,0.64
20,,Important,105.48,4.00,11.00,15.00,19.00,22.00,21.00,57.00,48.00,2.00,7.00,96.00,103.00,2.00,7.00,13.00,42.00,43.00,18.00,20.00,4.00,40.00,23.00
20,,,0.21,0.17,0.21,0.19,0.23,0.20,0.25,0.23,0.19,0.10,0.21,0.22,0.22,0.06,0.24,0.17,0.23,0.21,0.24,0.18,0.12,0.21,0.24
20,,Fairly Important,19.21,0.00,4.00,3.00,3.00,6.00,1.00,11.00,8.00,0.00,1.00,18.00,17.00,2.00,0.00,4.00,6.00,8.00,1.00,7.00,2.00,7.00,2.00
20,,,0.04,0.00,0.08,0.04,0.04,0.06,0.01,0.04,0.03,0.00,0.03,0.04,0.04,0.06,0.00,0.05,0.03,0.04,0.01,0.06,0.06,0.04,0.02
20,,Slightly Important,12.61,0.00,1.00,3.00,0.00,2.00,5.00,5.00,8.00,0.00,0.00,13.00,12.00,1.00,0.00,1.00,7.00,5.00,0.00,3.00,2.00,2.00,5.00
20,,,0.02,0.00,0.02,0.04,0.00,0.02,0.06,0.02,0.03,0.00,0.00,0.03,0.03,0.03,0.00,0.01,0.04,0.02,0.00,0.03,0.06,0.01,0.05
20,,Not Important,15.95,0.00,1.00,2.00,3.00,1.00,7.00,9.00,7.00,0.00,0.00,15.00,15.00,1.00,0.00,3.00,7.00,6.00,2.00,4.00,0.00,6.00,4.00
20,,,0.03,0.00,0.02,0.03,0.04,0.01,0.08,0.04,0.03,0.00,0.00,0.03,0.03,0.03,0.00,0.04,0.04,0.03,0.03,0.04,0.00,0.03,0.04
20,,Don't know,3.47,0.00,0.00,1.00,1.00,0.00,0.00,1.00,2.00,1.00,0.00,2.00,2.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,2.00,0.00,0.00
20,,,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.05,0.00,0.00,0.00,0.03,0.00,0.01,0.01,0.01,0.01,0.01,0.06,0.00,0.00
21,How important the following issue will be in determining how you vote: increasing jobs?,Very Important,309.59,15.00,29.00,49.00,52.00,70.00,50.00,158.00,152.00,8.00,15.00,275.00,285.00,24.00,15.00,44.00,117.00,123.00,45.00,78.00,20.00,108.00,58.00
21,,,0.61,0.65,0.56,0.61,0.62,0.65,0.60,0.63,0.59,0.38,0.47,0.63,0.60,0.71,0.52,0.59,0.64,0.59,0.60,0.68,0.59,0.57,0.61
21,,Important,139.71,4.00,18.00,24.00,23.00,27.00,20.00,66.00,74.00,9.00,8.00,120.00,135.00,5.00,12.00,24.00,43.00,60.00,24.00,25.00,9.00,58.00,24.00
21,,,0.28,0.17,0.35,0.30,0.27,0.25,0.24,0.26,0.29,0.43,0.25,0.27,0.29,0.15,0.41,0.32,0.23,0.29,0.32,0.22,0.26,0.31,0.25
21,,Fairly Important,38.95,3.00,5.00,4.00,6.00,6.00,10.00,17.00,22.00,2.00,7.00,29.00,36.00,3.00,2.00,6.00,14.00,17.00,3.00,8.00,2.00,16.00,9.00
21,,,0.08,0.13,0.10,0.05,0.07,0.06,0.12,0.07,0.09,0.10,0.22,0.07,0.08,0.09,0.07,0.08,0.08,0.08,0.04,0.07,0.06,0.09,0.09
21,,Slightly Important,10.62,0.00,0.00,2.00,2.00,4.00,1.00,8.00,3.00,0.00,2.00,8.00,10.00,1.00,0.00,1.00,4.00,4.00,1.00,2.00,1.00,4.00,3.00
21,,,0.02,0.00,0.00,0.03,0.02,0.04,0.01,0.03,0.01,0.00,0.06,0.02,0.02,0.03,0.00,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.03
21,,Not Important,5.85,1.00,0.00,0.00,1.00,1.00,2.00,3.00,3.00,1.00,0.00,5.00,6.00,0.00,0.00,0.00,4.00,2.00,1.00,1.00,1.00,2.00,1.00
21,,,0.01,0.04,0.00,0.00,0.01,0.01,0.02,0.01,0.01,0.05,0.00,0.01,0.01,0.00,0.00,0.00,0.02,0.01,0.01,0.01,0.03,0.01,0.01
21,,Don't know,2.29,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00
21,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.05,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.00,0.00
22,How important the following issue will be in determining how you vote: illegal immigration?,Very Important,308.65,12.00,34.00,49.00,52.00,68.00,50.00,162.00,147.00,4.00,10.00,283.00,288.00,20.00,10.00,38.00,116.00,136.00,47.00,74.00,23.00,115.00,48.00
22,,,0.61,0.50,0.67,0.62,0.62,0.63,0.61,0.64,0.57,0.19,0.30,0.64,0.61,0.61,0.34,0.51,0.63,0.66,0.63,0.64,0.68,0.61,0.51
22,,Important,104.56,7.00,12.00,15.00,20.00,17.00,14.00,54.00,51.00,5.00,5.00,93.00,98.00,7.00,5.00,17.00,41.00,39.00,18.00,21.00,9.00,35.00,22.00
22,,,0.21,0.29,0.24,0.19,0.24,0.16,0.17,0.21,0.20,0.24,0.15,0.21,0.21,0.21,0.17,0.23,0.22,0.19,0.24,0.18,0.26,0.19,0.23
22,,Fairly Important,33.51,3.00,2.00,8.00,4.00,7.00,5.00,14.00,20.00,4.00,6.00,23.00,32.00,1.00,5.00,8.00,10.00,10.00,4.00,8.00,1.00,10.00,11.00
22,,,0.07,0.13,0.04,0.10,0.05,0.06,0.06,0.06,0.08,0.19,0.18,0.05,0.07,0.03,0.17,0.11,0.05,0.05,0.05,0.07,0.03,0.05,0.12
22,,Slightly Important,25.56,0.00,2.00,3.00,5.00,7.00,4.00,9.00,17.00,3.00,8.00,14.00,24.00,1.00,2.00,6.00,10.00,7.00,1.00,4.00,0.00,14.00,7.00
22,,,0.05,0.00,0.04,0.04,0.06,0.06,0.05,0.04,0.07,0.14,0.24,0.03,0.05,0.03,0.07,0.08,0.05,0.03,0.01,0.03,0.00,0.07,0.07
22,,Not Important,30.32,0.00,1.00,3.00,3.00,9.00,9.00,13.00,18.00,4.00,4.00,23.00,27.00,3.00,7.00,6.00,6.00,11.00,3.00,6.00,0.00,15.00,7.00
22,,,0.06,0.00,0.02,0.04,0.04,0.08,0.11,0.05,0.07,0.19,0.12,0.05,0.06,0.09,0.24,0.08,0.03,0.05,0.04,0.05,0.00,0.08,0.07
22,,Don't know,4.40,2.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,3.00,3.00,1.00,0.00,0.00,1.00,4.00,2.00,2.00,1.00,0.00,0.00
22,,,0.01,0.08,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.01,0.01,0.03,0.00,0.00,0.01,0.02,0.03,0.02,0.03,0.00,0.00
23,How important the following issue will be in determining how you vote: President Donald Trump?,Very Important,269.14,14.00,28.00,43.00,45.00,61.00,39.00,140.00,129.00,4.00,6.00,254.00,254.00,15.00,5.00,30.00,100.00,124.00,48.00,71.00,20.00,94.00,35.00
23,,,0.53,0.61,0.54,0.54,0.53,0.56,0.48,0.56,0.50,0.19,0.18,0.58,0.54,0.44,0.17,0.40,0.54,0.60,0.64,0.61,0.59,0.50,0.37
23,,Important,120.14,4.00,14.00,13.00,23.00,24.00,18.00,50.00,71.00,2.00,4.00,110.00,111.00,9.00,7.00,18.00,40.00,54.00,17.00,21.00,9.00,44.00,30.00
23,,,0.24,0.17,0.27,0.16,0.27,0.22,0.22,0.20,0.28,0.10,0.12,0.25,0.24,0.26,0.24,0.24,0.22,0.26,0.23,0.18,0.26,0.23,0.32
23,,Fairly Important,25.15,1.00,4.00,7.00,2.00,6.00,4.00,16.00,9.00,3.00,2.00,20.00,22.00,3.00,2.00,9.00,9.00,6.00,2.00,7.00,1.00,9.00,7.00
23,,,0.05,0.04,0.08,0.09,0.02,0.06,0.05,0.06,0.04,0.14,0.06,0.05,0.05,0.09,0.07,0.12,0.05,0.03,0.03,0.06,0.03,0.05,0.07
23,,Slightly Important,15.74,0.00,1.00,3.00,4.00,2.00,3.00,9.00,6.00,0.00,1.00,15.00,14.00,2.00,0.00,2.00,10.00,4.00,1.00,3.00,1.00,5.00,5.00
23,,,0.03,0.00,0.02,0.04,0.05,0.02,0.04,0.04,0.02,0.00,0.03,0.03,0.03,0.06,0.00,0.03,0.05,0.02,0.01,0.03,0.03,0.03,0.05
23,,Not Important,70.56,4.00,3.00,13.00,10.00,14.00,18.00,34.00,37.00,11.00,20.00,35.00,66.00,4.00,15.00,16.00,23.00,16.00,6.00,12.00,2.00,33.00,18.00
23,,,0.14,0.17,0.06,0.16,0.12,0.13,0.22,0.14,0.14,0.52,0.61,0.08,0.14,0.12,0.52,0.21,0.13,0.08,0.08,0.10,0.06,0.18,0.19
23,,Don't know,6.26,0.00,2.00,1.00,1.00,1.00,0.00,2.00,4.00,1.00,0.00,5.00,5.00,1.00,0.00,0.00,2.00,4.00,1.00,2.00,1.00,3.00,0.00
23,,,0.01,0.00,0.04,0.01,0.01,0.01,0.00,0.01,0.02,0.05,0.00,0.01,0.01,0.03,0.00,0.00,0.01,0.02,0.01,0.02,0.03,0.02,0.00
24,How important the following issue will be in determining how you vote: expanding Medicaid?,Very Important,86.40,7.00,13.00,16.00,16.00,10.00,11.00,41.00,45.00,5.00,5.00,72.00,79.00,7.00,7.00,10.00,31.00,37.00,20.00,22.00,6.00,29.00,10.00
24,,,0.17,0.30,0.25,0.20,0.19,0.09,0.13,0.16,0.18,0.24,0.15,0.16,0.17,0.21,0.25,0.13,0.17,0.18,0.27,0.19,0.18,0.15,0.11
24,,Important,106.04,6.00,11.00,18.00,19.00,20.00,12.00,47.00,59.00,6.00,13.00,84.00,96.00,10.00,4.00,11.00,44.00,46.00,20.00,30.00,6.00,28.00,21.00
24,,,0.21,0.26,0.21,0.23,0.23,0.19,0.14,0.19,0.23,0.29,0.39,0.19,0.20,0.29,0.14,0.15,0.24,0.22,0.27,0.26,0.18,0.15,0.22
24,,Fairly Important,67.50,0.00,11.00,12.00,4.00,19.00,16.00,35.00,32.00,2.00,5.00,60.00,66.00,1.00,5.00,15.00,18.00,25.00,4.00,15.00,5.00,30.00,13.00
24,,,0.13,0.00,0.21,0.15,0.05,0.18,0.19,0.14,0.12,0.10,0.15,0.14,0.14,0.03,0.18,0.20,0.10,0.12,0.05,0.13,0.15,0.16,0.14
24,,Slightly Important,67.29,1.00,3.00,11.00,21.00,17.00,7.00,37.00,31.00,3.00,5.00,59.00,65.00,3.00,5.00,17.00,26.00,18.00,6.00,20.00,2.00,26.00,13.00
24,,,0.13,0.04,0.06,0.14,0.25,0.16,0.08,0.15,0.12,0.14,0.15,0.13,0.14,0.09,0.18,0.23,0.14,0.09,0.08,0.17,0.06,0.14,0.14
24,,Not Important,154.87,8.00,9.00,19.00,20.00,37.00,35.00,77.00,78.00,3.00,4.00,145.00,145.00,10.00,7.00,18.00,55.00,71.00,17.00,24.00,15.00,66.00,33.00
24,,,0.31,0.35,0.17,0.24,0.24,0.34,0.42,0.31,0.30,0.14,0.12,0.33,0.31,0.29,0.25,0.24,0.30,0.34,0.23,0.21,0.44,0.35,0.35
24,,Don't know,24.89,1.00,5.00,4.00,4.00,5.00,2.00,13.00,12.00,2.00,1.00,18.00,22.00,3.00,0.00,4.00,8.00,11.00,7.00,4.00,0.00,9.00,5.00
24,,,0.05,0.04,0.10,0.05,0.05,0.05,0.02,0.05,0.05,0.10,0.03,0.04,0.05,0.09,0.00,0.05,0.04,0.05,0.09,0.03,0.00,0.05,0.05
