qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other (race),18-29,30-44,45-64,65+,Democrat,Independent,Republican
3,,,0.1,0.059340659,0.074336283,0.06504065,0.047619048,0.064516129,0.052083333,0.092592593,0.096153846,0.056451613,0.058201058,0.070063694,0.089285714,0.039548023,0.058641975,0.064846416,0.15,0.042253521,0.053140097,0.072681704,0.065517241,0.038834951,0.122807018,0.057736721
4,Do you approve or disapprove of the way Nathan Deal is handling his job as governor?,Approve,647,308,339,86,106,36,241,172,25,74,122,100,109,124,463,147,36,33,116,271,198,187,72,359
4,,,0.6,0.675438596,0.598939929,0.699186992,0.630952381,0.590163934,0.625974026,0.639405204,0.480769231,0.592,0.645502646,0.632911392,0.648809524,0.696629213,0.71561051,0.501706485,0.455696203,0.464788732,0.560386473,0.6775,0.682758621,0.454987835,0.637168142,0.82718894
4,,Disapprove,217,92,126,17,40,14,84,59,15,32,43,34,35,33,100,94,23,19,57,83,51,147,26,29
4,,,0.2,0.201754386,0.222614841,0.138211382,0.238095238,0.229508197,0.218181818,0.219330855,0.288461538,0.256,0.227513228,0.215189873,0.208333333,0.185393258,0.154559505,0.320819113,0.291139241,0.267605634,0.275362319,0.2075,0.175862069,0.357664234,0.230088496,0.066820276
4,,Don't know,156,56,101,20,22,11,60,38,12,19,24,24,24,21,84,52,20,19,34,46,41,77,15,46
4,,,0.2,0.122807018,0.17844523,0.162601626,0.130952381,0.180327869,0.155844156,0.141263941,0.230769231,0.152,0.126984127,0.151898734,0.142857143,0.117977528,0.129829985,0.177474403,0.253164557,0.267605634,0.164251208,0.115,0.14137931,0.187347932,0.132743363,0.105990783
5,"In general, how satisfied are you with the way things are going in Georgia today?",Very satisfied,150,98,52,16,29,5,68,31,2,12,26,28,27,38,129,11,10,9,18,78,42,10,18,119
5,,,0.1,0.215384615,0.092198582,0.129032258,0.171597633,0.080645161,0.176165803,0.114814815,0.037735849,0.096774194,0.138297872,0.178343949,0.160714286,0.214689266,0.199074074,0.037671233,0.125,0.126760563,0.086538462,0.195488722,0.14532872,0.024271845,0.159292035,0.274193548
5,,Somewhat satisfied,584,266,318,71,97,37,216,162,24,78,100,99,99,98,384,163,37,35,117,224,179,218,65,271
5,,,0.6,0.584615385,0.563829787,0.572580645,0.573964497,0.596774194,0.559585492,0.6,0.452830189,0.629032258,0.531914894,0.630573248,0.589285714,0.553672316,0.592592593,0.558219178,0.4625,0.492957746,0.5625,0.561403509,0.619377163,0.529126214,0.575221239,0.624423963
5,,Somewhat dissatisfied,204,64,140,33,31,8,74,58,18,21,51,21,32,35,94,91,19,22,53,74,47,137,22,31
5,,,0.2,0.140659341,0.24822695,0.266129032,0.183431953,0.129032258,0.191709845,0.214814815,0.339622642,0.169354839,0.271276596,0.133757962,0.19047619,0.197740113,0.145061728,0.311643836,0.2375,0.309859155,0.254807692,0.185463659,0.162629758,0.332524272,0.194690265,0.071428571
6,,Very dissatisfied,52,16,36,3,10,6,18,14,8,9,8,7,9,3,26,21,6,4,12,18,13,38,5,5
6,,,0.1,0.035164835,0.063829787,0.024193548,0.059171598,0.096774194,0.046632124,0.051851852,0.150943396,0.072580645,0.042553191,0.044585987,0.053571429,0.016949153,0.040123457,0.071917808,0.075,0.056338028,0.057692308,0.045112782,0.044982699,0.09223301,0.044247788,0.011520737
6,,Don't know,29,11,18,1,2,6,10,5,1,4,3,2,1,3,15,6,8,1,8,5,8,9,3,8
6,,,0.0,0.024175824,0.031914894,0.008064516,0.01183432,0.096774194,0.025906736,0.018518519,0.018867925,0.032258065,0.015957447,0.012738854,0.005952381,0.016949153,0.023148148,0.020547945,0.1,0.014084507,0.038461538,0.012531328,0.027681661,0.02184466,0.026548673,0.01843318
6,How would you describe the state of Georgia’s economy?,Excellent,138,96,42,18,16,4,60,40,5,5,17,24,24,43,118,13,7,12,21,63,35,18,16,99
6,,,0.1,0.210989011,0.074336283,0.14516129,0.095238095,0.06557377,0.155844156,0.148698885,0.098039216,0.040322581,0.090425532,0.152866242,0.142011834,0.241573034,0.182098765,0.044368601,0.088607595,0.169014085,0.101449275,0.157894737,0.121107266,0.04379562,0.140350877,0.228637413
6,,Good,513,232,281,47,93,29,202,138,10,60,81,89,105,95,367,114,33,20,97,218,160,183,51,253
6,,,0.5,0.50989011,0.497345133,0.379032258,0.553571429,0.475409836,0.524675325,0.513011152,0.196078431,0.483870968,0.430851064,0.566878981,0.621301775,0.533707865,0.566358025,0.389078498,0.417721519,0.281690141,0.468599034,0.546365915,0.553633218,0.445255474,0.447368421,0.584295612
6,,Fair ,275,97,178,43,47,18,89,75,26,44,67,34,32,34,131,118,26,27,65,90,76,153,41,68
6,,,0.3,0.213186813,0.315044248,0.346774194,0.279761905,0.295081967,0.231168831,0.278810409,0.509803922,0.35483871,0.356382979,0.21656051,0.189349112,0.191011236,0.202160494,0.402730375,0.329113924,0.38028169,0.314009662,0.22556391,0.262975779,0.372262774,0.359649123,0.15704388
7,,Poor ,66,18,48,15,12,8,22,8,9,12,19,6,4,4,17,41,8,11,18,24,8,47,1,10
7,,,0.1,0.03956044,0.084955752,0.120967742,0.071428571,0.131147541,0.057142857,0.029739777,0.176470588,0.096774194,0.10106383,0.038216561,0.023668639,0.02247191,0.026234568,0.139931741,0.101265823,0.154929577,0.086956522,0.060150376,0.027681661,0.114355231,0.00877193,0.023094688
7,,Don't know,28,12,16,1,0,2,12,8,1,3,4,4,4,2,15,7,5,1,6,4,10,10,5,3
