qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,Protestant,Catholic,Jewish,Muslim,Non-Religious,Atlanta Metro,North Georgia,South Georgia
4,,Don't know,37,20,17,5,2,1,18,10,3,1,10,5,9,7,30,5,3,7,7,13,9,4,9,18,19,3,2,0,6,14,16,8
4,,,0.048,0.056,0.041,0.049,0.018,0.026,0.056,0.052,0.083,0.011,0.070,0.037,0.064,0.047,0.066,0.021,0.035,0.042,0.036,0.052,0.061,0.012,0.100,0.056,0.049,0.030,0.095,0.000,0.055,0.038,0.058,0.063
5,"Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases or illegal in all cases?",Legal in all cases,174,65,110,18,21,4,78,52,9,21,46,20,20,44,67,83,24,58,55,40,19,122,22,19,72,19,7,0,45,109,44,21
5,,,0.225,0.182,0.263,0.176,0.184,0.100,0.242,0.269,0.243,0.239,0.324,0.147,0.142,0.293,0.147,0.356,0.279,0.347,0.285,0.160,0.128,0.367,0.244,0.059,0.188,0.188,0.333,0.000,0.413,0.295,0.159,0.163
5,,Legal in most cases,274,122,152,25,43,11,111,84,4,22,47,58,58,57,148,101,25,49,73,98,47,145,43,78,121,35,12,5,51,151,83,40
5,,,0.354,0.342,0.363,0.245,0.377,0.275,0.345,0.435,0.108,0.250,0.331,0.426,0.411,0.380,0.325,0.433,0.291,0.293,0.378,0.392,0.318,0.437,0.478,0.244,0.315,0.347,0.571,0.714,0.468,0.409,0.300,0.310
5,,Illegal in most cases,208,115,93,36,25,16,90,41,5,25,31,38,49,37,164,23,21,43,44,69,48,35,9,154,127,28,1,2,11,71,98,39
5,,,0.268,0.322,0.222,0.353,0.219,0.400,0.280,0.212,0.135,0.284,0.218,0.279,0.348,0.247,0.360,0.099,0.244,0.257,0.228,0.276,0.324,0.105,0.100,0.481,0.331,0.277,0.048,0.286,0.101,0.192,0.354,0.302
5,,Illegal in all cases,84,34,50,14,19,8,32,9,15,15,8,19,10,6,58,14,12,10,12,30,29,16,7,59,49,14,0,0,1,24,35,25
5,,,0.108,0.095,0.119,0.137,0.167,0.200,0.099,0.047,0.405,0.170,0.056,0.140,0.071,0.040,0.127,0.060,0.140,0.060,0.062,0.120,0.196,0.048,0.078,0.184,0.128,0.139,0.000,0.000,0.009,0.065,0.126,0.194
5,,Don't know,35,21,14,9,6,1,11,7,4,5,10,1,4,6,18,12,4,7,9,13,5,14,9,10,15,5,1,0,1,14,17,4
5,,,0.045,0.059,0.033,0.088,0.053,0.025,0.034,0.036,0.108,0.057,0.070,0.007,0.028,0.040,0.040,0.052,0.047,0.042,0.047,0.052,0.034,0.042,0.100,0.031,0.039,0.050,0.048,0.000,0.009,0.038,0.061,0.031
6,"In 1973 the Roe versus Wade decision established a woman's constitutional right to an abortion, at least in the first three months of pregnancy. Would you like to see the Supreme Court completely overturn its Roe versus Wade decision or not?","Yes, should be overturned",188,98,90,39.000,27,15,78,28,20,24,24,39,35,23,142,22,25,31,39,64,51,32,10,138,112,32,0,2,4,49,89,50
6,,,0.243,0.275,0.216,0.382,0.239,0.395,0.241,0.145,0.556,0.273,0.169,0.289,0.250,0.154,0.312,0.094,0.287,0.187,0.201,0.257,0.347,0.096,0.111,0.431,0.292,0.317,0.000,0.286,0.037,0.133,0.320,0.394
6,,"No, should not be overturned",544,234,310,54,75,19,234,159,16,56,113,86,101,120,286,204,54,127,148,170,86,291,75,159,248,60,21,5,103,305,167,72
6,,,0.703,0.657,0.743,0.529,0.664,0.500,0.724,0.824,0.444,0.636,0.796,0.637,0.721,0.805,0.629,0.876,0.621,0.765,0.763,0.683,0.585,0.877,0.833,0.497,0.648,0.594,0.955,0.714,0.945,0.829,0.601,0.567
6,,Don't know,42,24,17,9,11,4,11,6,0,8,5,10,4,6,27,7,8,8,7,15,10,9,5,23,23,9,1,0,2,14,22,5
6,,,0.054,0.067,0.041,0.088,0.097,0.105,0.034,0.031,0.000,0.091,0.035,0.074,0.029,0.040,0.059,0.030,0.092,0.048,0.036,0.060,0.068,0.027,0.056,0.072,0.060,0.089,0.045,0.000,0.018,0.038,0.079,0.039
7,"The Georgia Legislature is considering/has approved legislation that would ban virtually all abortions after six weeks of pregnancy, except in cases of rape and incest that are reported to authorities. Do you strongly support, somewhat support, neither support nor oppose, somewhat oppose, or strongly oppose this legislation?",Strongly support,199,106,93,36.000,36,14,86,27,11,32,28,28,45,27,150,22,28,35,43,70,45,32,13,147,125,29,2,2,7,57,101,41
7,,,0.257,0.297,0.224,0.350,0.316,0.359,0.267,0.139,0.306,0.364,0.196,0.209,0.321,0.180,0.330,0.094,0.329,0.211,0.223,0.280,0.308,0.096,0.143,0.461,0.325,0.287,0.095,0.286,0.064,0.155,0.365,0.323
7,,Somewhat support,144,67,76,22,27,4,56,35,7,14,34,27,26,21,92,46,6,25,43,43,28,46,12,79,74,17,3,5,20,57,55,31
7,,,0.186,0.188,0.183,0.214,0.237,0.103,0.174,0.180,0.194,0.159,0.238,0.201,0.186,0.140,0.202,0.197,0.071,0.151,0.223,0.172,0.192,0.138,0.132,0.248,0.192,0.168,0.143,0.714,0.183,0.155,0.199,0.244
7,,Neither support or oppose,44,15,29,6,2,2,22,10,1,7,3,6,7,12,31,4,9,11,9,15,7,16,4,23,23,10,1,0,3,19,20,6
7,,,0.057,0.042,0.070,0.058,0.018,0.051,0.068,0.052,0.028,0.080,0.021,0.045,0.050,0.080,0.068,0.017,0.106,0.066,0.047,0.060,0.048,0.048,0.044,0.072,0.060,0.099,0.048,0.000,0.028,0.052,0.072,0.047
7,,Somewhat oppose,73,42,31,10,13,4,26,21,5,6,17,16,10,16,38,28,7,19,11,27,15,35,13,24,43,8,0,0,10,42,19,12
7,,,0.095,0.118,0.075,0.097,0.114,0.103,0.081,0.108,0.139,0.068,0.119,0.119,0.071,0.107,0.084,0.120,0.082,0.114,0.057,0.108,0.103,0.105,0.143,0.075,0.112,0.079,0.000,0.000,0.092,0.114,0.069,0.094
7,,Strongly oppose,303,120,183,28,30,14,130,101,11,29,57,55,51,73,142,126,34,73,87,90,49,198,49,45,112,35,15,0,69,190,78,34
7,,,0.392,0.336,0.440,0.272,0.263,0.359,0.404,0.521,0.306,0.330,0.399,0.410,0.364,0.487,0.312,0.541,0.400,0.440,0.451,0.360,0.336,0.593,0.538,0.141,0.291,0.347,0.714,0.000,0.633,0.516,0.282,0.268
7,,Don't know,10,7,4,1,6,1,2,0,1,0,4,2,1,1,2,7,1,3,0,5,2,7,0,1,8,2,0,0,0,3,4,3
7,,,0.013,0.020,0.010,0.010,0.053,0.026,0.006,0.000,0.028,0.000,0.028,0.015,0.007,0.007,0.004,0.030,0.012,0.018,0.000,0.020,0.014,0.021,0.000,0.003,0.021,0.020,0.000,0.000,0.000,0.008,0.014,0.024
8,"Now that a summary of Special Counsel Robert Mueller's findings has been released, has what you've learned made you more likely to support President Trump, less likely to support President Trump, or has your opinion of President Trump stayed the same?",More likely,77,44,33,16,8,8,34,12,4,4,9,16,10,22,61,3,13,8,18,27,21,4,4,66,46,12,1,0,7,30,33,15
8,,,0.111,0.134,0.089,0.172,0.078,0.235,0.116,0.070,0.125,0.053,0.072,0.126,0.076,0.164,0.147,0.015,0.160,0.054,0.105,0.119,0.152,0.014,0.048,0.222,0.131,0.133,0.056,0.000,0.073,0.092,0.128,0.132
8,,Less likely ,101,43,58,13,24,5,40,19,5,15,18,26,15,13,35,57,9,36,14,30,17,79,10,12,42,9,5,2,20,58,22,20
8,,,0.145,0.131,0.157,0.140,0.233,0.147,0.136,0.110,0.156,0.200,0.144,0.205,0.114,0.097,0.084,0.284,0.111,0.245,0.082,0.132,0.123,0.272,0.119,0.040,0.120,0.100,0.278,0.333,0.208,0.178,0.085,0.175
8,,Opinion has stayed the same,503,235,268,59,69,20,215,136,21,52,93,83,106,99,311,138,54,101,136,164,94,204,62,214,252,65,12,4,68,231,197,75
8,,,0.720,0.716,0.724,0.634,0.670,0.588,0.731,0.791,0.656,0.693,0.744,0.654,0.803,0.739,0.748,0.687,0.667,0.687,0.795,0.722,0.681,0.703,0.738,0.721,0.720,0.722,0.667,0.667,0.708,0.709,0.764,0.658
8,,Don't know,17,6,11,5,2,1,5,5,2,4,5,2,1,0,9,3,5,2,3,6,6,3,8,5,10,4,0,0,1,7,6,4
8,,,0.025,0.018,0.030,0.054,0.019,0.029,0.017,0.029,0.063,0.053,0.040,0.016,0.008,0.000,0.022,0.015,0.062,0.014,0.018,0.026,0.043,0.010,0.095,0.017,0.029,0.044,0.000,0.000,0.010,0.021,0.023,0.035
